"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Solomon Islands","Fiji","Samoa"
"United States of America",0,662.199,830.78,0.3,104.747,148.67,15.859,1091.96,49.94,3.79,4.826,1631.5,24.204,86.783,15.714,40.751,41.441,133.318,105.63,1049.6001,8.251,36.118,233.9,177.36,465.908,36.484,15.032,388.8,93.57,71.947,921.7998,259.94,2847.6,902.645,39.6554,1603.5996,104.8,1111.6201,417.96,0,132.2,298.18,54.6,94.47,38.7,653.2002,26.97,0.9,192.5,217.6,34.67,28.1,145.93,1719.4,9.68,71.7,469.91,77.98,134.312,0,0,5.017,0.1,1.371,6.779,56.665,12.996,5.7,14.983,317.68,53.2,27.048,34.379,55.1,121.49,3.54,25.913,3916.9999,170.861,4.677,5.9,73.92,175.5,81.116,49.231,45.914,27.209,41.708,5.834,4.3,72.696,400.6,21.6,72.8809,0.6,2.694,1264.3,14,61.6,14.9,96.911,0.3,10.013,2,200.45,3111.47,71.51,4073.1999,48.48,3219.6001,96.78,154.5,985.95,61.5,126.7,109.23,380.2601,1552.5,32.918,20.5,551.1,104.88,243.02,1649.9,325.89,4.354,363.8,4.3,3359.8999,9,1043.5,11541.8,151.17,0,401.74,96.81,39.337,9.194,0,5.1,257.27,0.2,0.2,1.6,771.76,545.51,261.79,3067.1999,1607.2399,41.7,103.66,0.812,3.387,3.97
"Canada",662.199,0,3.52,134.1,11.157,5.22,18.279,46.16,16.764,1.254,2.452,52.4,3.278,16.524,0.402,3.304,10.652,4.896,7.44,863.4,17.385,5.965,60.87,7.05,215.253,10.014,3.444,13.3,23.88,3.925,551.4,7.93,141.2,183.6326,8.0674,71.1,158.6,20.2,2.13,0,14.3,149.67,26,4.96,42.4,58.1,0.51,9.1,7.33,0.99,10.394,0.9,5.05,458.3,6.8,145.1,97.56,20.17,0.218,0,0,0,0,0.046,0.898,4.511,0.239,3.7,0.679,17.34,22.6,0.745,0.926,4.6,15.044,1.688,1.051,29.4,54.117,0.046,0,2.183,4,1.213,7.203,9.356,0.016,0.595,0.658,0,1.156,1.4,3.2,9.8533,0,8.763,44.4,0,0,0,0.924,0,6.606,0,26.36,164.66,32.26,6.1,4.369,518.5,26.82,117,40.01,23.65,25.9,6.53,20.16,652.7,2.481,10.7,33.2,1.23,0.2,33.8,3.11,4.9,482.9,0,292.3,0.3,146.1,1020.6,187.58,0,67.05,80.97,3.267,1.06,0,0,51.52,9,9,20.2,0.18,33.56,0.59,53.4,34.47,3.1,9.95,0,4.233,0.089
"Bahamas",830.78,3.52,0,0.18,0.072,0,2.183,1.38,0.114,0,0,0.95,16.78,0.05,0.023,0.04,0.014,0.529,0.91,84.2,0.657,0.009,50.61,0.66,27.808,0,0.34,0.03,0.52,0.004,153.92,34.44,47.16,3.027,0.133,5.7,2.6,2.45,0.46,0,0,0,1.53,0.13,0,19.48,0.11,0,0,0.09,0.01,0,0,0.01,0.02,2.13,43.71,11.03,7.272,0,0,0,0,9,9,0,0,0,0,2.1,0,0,0,0,0,0,0,274.52,3.4,0,0,0,69.34,0,0,0,0,0,0.01,0,0,276.18,0,0.0018,0,0,0,0,0,0,0,0,0,9,0.05,67.4,46.97,360.51,0,373.07,0,0,0,0,0,0,0.04,905.61,9,0,0,0,9,0,9,0,0.01,0,0.07,0,0.7,16.93,0.06,0,2.01,0,0,0.001,0,0,0.05,0,0,0,0.05,0,1.58,142.84,2.38,9,0.51,0.02,0.015,2.89
"Cuba",0.3,134.1,0.18,0,0,0,2.664,12.9,1.923,0,0.265,22.8,0,0,0.001,0,6.357,0.014,3.28,11.3,0.264,0.668,0,20.6,0,0,9,0,118.26,0,37.7,5.73,12,31.4197,1.3803,13.9,27,4.44,15.01,0,0,1.44,2.6,9.93,0,6.8,0.04,0,18.59,9.1,9.115,0,2.98,0,18.03,15.6,0.84,24.26,5.01,0,0,0,0,9,0,0,9,0,0,0,0,9,0,0,0.003,0,0.022,0,0.072,9,0,0,9,0,0,0,0.04,9,9,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,23.55,0,0.62,9.5,2.596,9,0.2,19.8,25.72,26.22,0,0,0,3.6,11.347,0,9,9.02,0,0,0,0,34.5,0,0,0,0,106.5,0.1,0,0,9,9,0.015,0,0,0,0,0,0,0.5,2.55,0,22.8,1.98,0,0,0,0.013,0
"Haiti",104.747,11.157,0.072,0,0,2.499,2.438,0.057,0.028,0,9.002,0.688,0.131,0.679,0.152,0.598,0.142,0.809,0.24,10.983,0.301,0.113,1.053,0,2.161,0,0,0.068,1.659,0,4.962,0.001,2.294,4.6938,0.2062,19.316,1.084,1.411,0.086,0,0,0.535,0.068,0.399,0.761,11.587,0,0,0.04,0.073,0,9.14,0.507,0,0.123,1.526,0.422,0.1,0.023,0,0,0,0,0,0,0,9,0,9.001,0,0,0,0.002,0,0,0,0,0.006,0,9,0,0,0,0,9,0.005,0,9,0,9,9.002,0,9.235,0.088,9,0,0,0,0,0,0.008,9,0,0,0.18,0,0,0,0,0,0.005,9,0,0,0.171,0,0.001,9,9.769,0,9,0,0,0,0,0,4.444,0,0,0,0.823,19.066,0.116,0,0.088,0,0,0,0,0,0,0,0,9,9,0.448,0.006,0,0.079,0,0.059,0,0,0
"Dominican Republic",148.67,5.22,0,0,2.499,0,1.695,2.3,0.192,0,0.59,14.63,2.992,5.366,0.527,0.2,2.205,5.902,4.73,121.72,0.098,1.192,0.01,0.54,9.168,0,0,5.88,3.17,0.416,11.26,0.43,9.75,15.5661,0.6839,0.3,3,10.48,0.17,0,0.03,0.12,0.32,0.11,0.38,11.66,0,9,0.06,0.02,0,0,0.42,0.03,0.51,6.17,6.64,0.34,0.07,0,9,0,0,0,0,10.56,9,0,0,9,0,0,0,9,0,9,0.037,0,0,0,0,0,9,0,0,9,0,0,0,9,9,9,9,0,0,9,1.86,0,0,0,0,0,0,0,5.62,2.22,0,0,9,0,0,0,5.91,9,0,0,0.51,0,0,9,9,0,9,0,0,0,0.04,9,12.3,0.26,2.19,64.29,0.55,0,0.01,0.62,0,0,0,0,0.03,0,9,9,0.09,0.11,1.44,0,0.15,0,2.27,0,0,0
"Jamaica",15.859,18.279,2.183,2.664,2.438,1.695,0,2.765,3.885,0.011,0.762,4.885,0.646,2.747,0.349,1.147,0.737,1.33,1.094,129.742,15.877,1.501,0.494,0.78,5.982,0,0.854,0,5.48,0.717,72.352,2.626,10.343,4.9428,0.2172,9.683,3.999,5.843,0.196,0,0.04,3.489,0.253,0.302,0.113,5.621,0.099,0,2.074,0.045,0.005,9,0.197,12.067,0.53,0.989,47.324,1.732,0.003,0,0,9,0,0,0,0,0,0.001,9,0.147,9.156,0,0.048,0.001,27.247,0,0.317,0.028,0,0,0,0.004,0.031,0,0.005,0.037,0,9,0.01,0,0.008,0.003,0,0.0045,0,0,0,0,0,0,0,0,0.021,0.008,0.031,0.007,0.02,0,0.001,0.008,0.027,0,0.02,0.003,0.026,0.001,0.155,0.003,0.031,0,0,0.03,0,0,0.011,0.043,1.207,0,6.401,0,1.32,19.516,0.306,0,0.115,0.088,0,0.125,0,9.006,0.008,0.022,0,0,0.458,0.505,0.066,0.869,5.206,0.01,3.314,0,0.052,0
"Trinidad and Tobago",1091.96,46.16,1.38,12.9,0.057,2.3,2.765,0,14.528,1.722,5.225,2.74,9.519,18.708,0.67,0.986,0.26,1.81,4.93,16.88,57.247,59.099,0.13,2.19,8,0.04,0.12,0.01,4.22,1.117,188.56,2.44,18,4.0041,0.1759,34.57,2.1,2.22,1.37,0,0.28,0.35,0.45,0.28,10.03,1.23,0.13,0,0.05,0,0.02,0,1.14,9.14,0.4,11.84,3.37,5.54,0,0,0,0,0,3.558,9.108,0,0,0,0,0,0,0,1.778,0,0.64,0.421,7.981,0.63,0,0,0,0,0,0,0.11,0.08,9,0.01,0,0,0,0,0.94,0.0082,0,0,0,0,0,0,0,0,0.386,0,5.41,0,0,28.4,0,13.68,0.16,0.75,0.01,0,9,0,0.07,429.87,9,0,0,0,0,0,88.48,0,4.46,0,11.35,9.07,0.63,104.07,2.95,0,0.06,0,0,0.05,0,0,0.03,0,0,0,0.67,1.27,0.33,275.82,16.02,0,12.73,0,0.002,0
"Barbados",49.94,16.764,0.114,1.923,0.028,0.192,3.885,14.528,0,0.364,1.413,0.491,0.213,3.096,0.111,0.113,0.124,0.036,0.401,10.409,4.201,0.57,0.003,0.032,3.724,0.006,0,0.566,2.278,0.37,46.592,4.962,5.371,2.596,0.114,3.617,1.369,0.935,0.359,0,0.051,0.176,0.085,0.098,9.329,2.088,0.05,0,0.059,0.036,0.062,0,0.079,0.049,0.054,0.435,2.988,1.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.001,9,0,0,0,0,0,0.242,0.002,9,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0.014,0,0,0,0.011,0,0,0,0,0.011,0.011,0.003,0.007,0,9.08,9,0.094,1.5,0,0.005,0,0.008,0,0,0,0.001,0.413,0,2.062,9,0.273,10.635,0.257,0,0.007,0,0.009,0.348,9.002,0,0.021,0,0,0,3.12,0,0.052,0.04,5.185,0,4.717,0,0,9
"Dominica",3.79,1.254,0,0,0,0,0.011,1.722,0.364,0,0.251,0,0,0,0,0,0,0,0.17,0.3,0.159,0.024,0,0,0,9,0,0,0,0,3.032,0,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,0,0.236,0,0,0
