"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"United States of America",0,2920.398,821.2,0.55,91.149,307.5,136.708,1475.0499,117.285,0,10.557,0,17.4859,0,1384.4,12.241,181.947,101.153,20.27,109.257,23.707,206.741,887.06,628.2998,9.029,29.663,345.99,26.53,524.9263,26.804,3.147,970.6,879.41,7.154,1079.4,713.5,3720,1959.8132,89.2868,3713.1001,224.7002,2791.2198,920.58,0,272.75,404.52,457.6,89.58,105.4925,587.3999,50.09,2.21,489.44,66.2,80.139,247.13,329.35,2297.96,506.3899,585.6999,1087.28,646.09,128.555,0,0,3.887,0.57,3.43,5.787,48.225,35.167,29.1858,18.798,241.4,72.59,36.157,5.657,18.8679,114.298,8.326,562.616,7374.2998,340.454,2.924,0.77,279.0185,379.4,101.02,83.98,46.789,23.054,31.391,22.329,7.92,32.773,643.07,49.6,27.78,2.989,52.073,359.3,17.8,128.2,64,55.218,3.99,8.982,2.8,262.44,4295.97,267.82,4951.7,107.887,234.2,307.06,838.36,1325.05,105.84,305.65,509.5,350.1,7682.7,44.9916,4.96,892.5,328.19,47.74,757.3,190.81,6.444,2620,4.9,4326.4004,9,576.1997,14629.5,45.2,0,281.55,51.34,33.498,42.4,0,5.74,289.14,12.26,0.77,11.23,583.92,1288.9102,230.7301,4618.5999,3317.5,28.872,212.7301,7.075,11.199,12.82,13.419
"Canada",2920.398,0,20.68,233.74,17.996,24.39,12.333,47.8,40.247,0,2.46,0,3.1604,0,430.9,0.443,15.785,13.897,5.881,24.024,9.312,5.87,103.9,1564.4999,3.729,5.975,38.84,7.42,306.954,8.249,0.52,3.2,72.04,9.992,995.2,45.12,208.7,246.6623,11.2377,181,206.9,10.61,8.79,0,8.75,205.26,20.2,13.08,13.9002,234,0.41,0,44.18,10.79,1.2,7.56,20.89,1573.18,10.38,186,146.99,44.64,5.63,0,0,0.003,0,0,3.713,3.037,0.259,2.3,1.335,7.27,18.25,4.012,8.758,0.6702,16.512,8.675,24.245,13.9,8.137,0.166,0,0.4493,0.4,0.07,14.12,4.023,0.316,2.667,0.147,0,22.71,1.76,17.13,1.3627,12.343,1.042,154,0,0,0,0.901,0,0.732,0,92.3,21.37,90.42,85.3,0.983,80.6,75.45,197.21,72.36,20.91,48.53,6.75,43.2,1924.3,0.2928,0.99,76.2,3.82,8.54,14.6,9.74,0.1,969.4,0,472.2,0.1,26.4,743.4001,235.94,0,78.29,52.16,2.126,4.19,0,0,103.3,0,0,0.39,45.52,29.3,22.27,67.6,224.25,1.81,2.71,0.08,0.377,7.935,0.067
"Bahamas",821.2,20.68,0,0,0.0256,0.08,0.9319,0.483,0.5788,0,0,0,3.2689,0.11,52.21,0.07,17.46,0.027,0.2222,0.01,0.0533,11.1381,8.276,0.75,0.2266,0.0034,0.05,15.385,20.394,0,0,0.29,0.055,0.577,342.92,0.931,4.27,22.7151,1.0349,9.69,14.38,16.545,0.504,0,0,0,0.4,0,0,71.42,0.04,0,0.55,0.081,0,0,0,0,0.044,51.96,0,8.389,0.041,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245,0,0,0,0,0,0,0,0,0,9,0,0,0,158.07,0,0,0,0,10.09,0,0,0,0.03,217.14,9,0,0,0,23.443,60.06,9,0,0,0,1.42,0,0.5,13.07,0.019,0,0.039,0,0,0.0459,0,0,0.089,0,0,0,0,0,2.921,943.47,3.791,9,1.243,9,0,0.002,0
"Cuba",0.55,233.74,0,0,0,0,0.6321,0.088,4.4249,0,0.938,0,9,0,114.6,0,0,0,0,4.1494,0.0502,0.3131,3.146,77.28,1.2779,0.2551,0,20.286,0,0,9,0,84.447,0,27.56,15.298,15.31,27.9755,1.2745,117,29.89,132.162,46.705,0,0,20.868,6.34,17.872,39.7771,10.04,0.05,0,0.812,0.02,0.309,0,69.091,0,40.038,44.45,2.026,5.772,0.4655,0,0,0.706,0,9,0.001,9.15,9,0,0.037,0,9,9,0,9,0,0,0.004,0,0,0,0,0,9,0,0,0,0,9.013,0,0,0,9,9,0,0,0,0,0,0,0,9,9,0,0.7,18.753,126.067,0,34.2,0,0,0.495,0,93.79,27.43,0,0.05,0,4.3,11.5374,0,9,0,0,0,0,0,104.63,0,0,0,0,139.34,0.211,0,0,9,9,0,0,0,0,9,0,0,37.672,5.599,0,1.4,1.589,9,0,0,0,0,0
"Haiti",91.149,17.996,0.0256,0,0,5.745,0.902,18.31,0.056,0,9,0,0.003,0.018,1.114,0,0.644,0.076,0.004,0.086,0.72,1.913,0.496,0.8,0,0.348,0.001,0.03,3.867,0,0,0.037,1.119,0,1.317,1.29,10.784,6.035,0.275,7.232,2.548,0.966,0.01,0,0,0.116,0.05,0.09,0.691,10.913,0,0,0,0.028,0,9,0.265,0,0.236,0.237,1.582,0.463,0.001,0,0,0,0,0,0,0.001,9,0,9,0,9,0,0,0,0,0,0,0,0,9,0,17.269,0,0,9,0,0,9,0,9,9,0,9,0.713,9,0,0,0,0,0,0,9,0,0,0.09,0,0,0,0,0,0.275,0,0.002,0,0,0,0.652,9.6,9,0,9,0,0,0,0,0,4.269,0,0,0,2.082,22.514,0.093,0,0.03,0,0,0,0,0,0.236,0,0,0,9,0.392,0.1,0.191,0.42,0,0.641,0,0,0,0
"Dominican Republic",307.5,24.39,0.08,0,5.745,0,1.491,0.84,0.023,1.749,0.41,1.617,0.6474,0.09,88.81,0.072,8.117,1.613,1.682,0.05,2.259,10.361,4.66,229.91,0.002,3.592,0.01,0.05,11.165,0,0.013,2.47,0.51,0.168,6.4,0.75,12.22,14.2603,0.6497,1.41,5.55,26.7,0.86,0,0.95,0,0.69,0.1,0.39,14.45,0,9,0.04,0.05,0,0.01,0,15.308,0.62,5.84,5.24,0.97,0.01,0,9,0,0,0,0,12.628,9,0,0,9,0,0,0,9.0565,0,9,0.033,0,0,0,0,9,9,0,0,9,0,0,0,9,9,9,0,0,0.002,9,1.34,0,0,0,0,0,0,0,8.33,22.99,0.32,0,9,0,0,0,0,9,0,0,0.27,0,0,9,9,0,9,0,0,0,0.05,9,18.79,0.02,4.36,79.96,0.14,0,0.01,0.03,0,0,0,0,0.09,0,9,0,0.01,0.19,1.39,0,0.82,0,5.51,0,0,0,0
"Jamaica",136.708,12.333,0.9319,0.6321,0.902,1.491,0,18.983,3.76,5.2969,1.004,2.7794,0.826,1.461,16.612,0.852,0.954,2.374,0.009,0.036,1.002,0.289,0.687,136.171,18.307,1.633,0.259,0.108,1.431,0,1.935,0.064,0.799,0.001,136.801,0.863,27.26,2.3719,0.1081,4.095,2.91,14.876,0.645,0,1.4246,0.441,0.252,0.572,0.016,2.547,0.163,0,0.639,0.633,0.034,0,0.006,14.9533,0.243,13.54,80.762,0.983,0.037,0,0,9,0,0.058,0,0,0,0,9,0,0,0,0,0.0646,55.143,0.001,0,0.023,0,0,0,0.09,0,0,0.035,0.151,0,9.001,0,0.0396,0.013,0.0398,0,0,0.004,0.004,0,0,0,0,0.001,0,0.001,0,0.014,0.008,0,0.037,0.001,0.001,0.103,0,0.003,0.013,0.0011,0.001,0.092,0.022,0.006,0.0072,0.006,0.003,0,0,0.001,0,0.568,0,7.153,0,2.403,34.485,0.707,0,0.149,0.023,0,0.072,0,9,0.084,0,0,0,0.225,0.208,1.347,0.896,2.353,0.011,1.024,0,0,0.012,0
"Trinidad and Tobago",1475.0499,47.8,0.483,0.088,18.31,0.84,18.983,0,23.365,0,7.915,0,2.0067,0,1.75,5.031,28.83,68.283,1.18,0,2.287,55.703,25.12,7.14,116.014,122.201,5.27,4.22,15.36,0,0.185,1.41,2.88,2.406,197.33,5.54,86.81,2.9267,0.1333,13.54,6.33,3.47,1.81,0,0.33,0.33,5.56,0.33,1.52,211.83,0.01,0,0.13,0.34,0,0,0.27,0.39,0.78,6.94,6.34,12.59,8,0,0,0,0,3.234,9.156,10.57,0.03,0,0,6.33,42.889,0,7.81,0.0016,0.021,1.653,13.067,2.72,0,0,0,1.45,0,0,0.16,0.116,9,0,0,0,0.02,0.022,0.46,0.0055,0.001,0.08,0,0,0,0.02,0.04,0,0,0,0.16,5.66,0.11,0,0,0,0.56,0,0.01,0,0,0,0.21,804.35,9.0075,0,0.03,0,0,22.2,0,0,8.86,0,26.67,9.71,6.26,192.53,10.31,0,0.04,0,0,0.036,0,0,0.4,0,9,0,0.72,2.15,0.29,323.71,31.04,0.005,21.86,0,0,0,0
"Barbados",117.285,40.247,0.5788,4.4249,0.056,0.023,3.76,23.365,0,1.4542,1.465,3.7757,0.8308,1.449,0.394,0.207,0.681,0.541,0.029,0.001,0.421,0.253,0.537,30.979,3.238,1.585,0.014,0.064,7.501,0,0,0.004,1.577,0.267,51.151,5.915,4.474,1.5207,0.0693,2.613,0.818,1.345,0.162,0,0.0419,0.822,0.483,0.059,0.598,4.021,0.001,0,0.053,0.03,0.017,0,0.012,1.377,0.077,2.22,3.669,1.497,0,0,0,0,0.002,0,0.001,0.001,0,0,0,0,0.0044,0,0.006,0.001,0.001,0,0,0,9,0,0,0,0.009,0.011,0.096,0.029,9,0,0,0,0,0.001,0,0,0,0,0.01,0,0,0,0.036,0,0,0,0.021,0.01,0,0,0.011,0.001,0.001,0.017,0.001,0,0,9,0.354,0.005,0,0,0.003,0,0,0,0,0.015,1.083,0,5.338,9.084,0.587,27.593,0.441,0,0.029,0,0,0.155,9.002,0,0.101,0.018,0,0,0.351,0.122,0.388,0.104,7.353,0.002,7.546,0,0,0.003,9
"Dominica",0,0,0,0,0,1.749,5.2969,0,1.4542,0,0.0814,0,0.1626,0,0,0.182,0,0.0638,0,0,0.1375,0,0.11,0,0.563,0.2721,0,0,0.033,9,0,0,0,0,16.5,0,0.67,0,0,0.88,0.11,1.996,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0.298,0.11,0,0.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0.11,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0.033,0,1.694,0,0,0,0
