"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"United States of America",0,68662.398,463.10001,0,390.60001,1138.6,322.39999,839.90002,110.2,2.6912942,1.045,0,6.168889,0,0,17558.301,53.700001,646.79999,487.39999,401.20001,0.89999998,720.40002,412,2039.1,5446.1001,70.599998,43.900002,1603,858.09998,7339.8999,126.7,31.299999,934.90002,938.5,486.20001,16032.7,1045.8,4362.8999,3980.376,210.8243,10586,5367.3999,2955.6001,600.09998,0,95.5,261.29999,911.40002,247.2,92.699997,11311.6,35.200001,3.5,713.40002,436.79999,12.1,60.900002,838.70001,605.59998,986.29999,4636.7998,1170.2,1869.3,248.7,0,0,0,0.2,0.5,7.3000002,7.0999999,0.1,2,12.4,453.60001,112.9,0.80000001,97.400002,1.3,200.89999,27,333.39999,2680.7,225.5,3.9000001,0.1,397.89999,238.7,139.39999,149.10001,12.7,10.5,11.4,0.40000001,0.30000001,76.199997,729.09998,20,66.199997,73.5,22,2476.2,0,2.5999999,23.5,64.300003,3.5,129,8.1000004,46.900002,1979.9,11.4,1.6,23,611.70001,690.20001,472.79999,123.3,8.8999996,30.799999,10.8,2505.2,4054.3,1.5,0.2,307,87,70.800003,390.5,42.5,5.4000001,5240.6001,1,21251.301,0,13496.7,85456.602,2464.6001,0,353.10001,264.20001,15.3,376.29999,8.0640001,37.5,1872.5,0.60000002,0.30000001,0.1,2534.2,4884.3999,64.300003,2150.1001,3675.3999,2872.6001,47.700001,1097.3,0.0092009651,0.043000001,13.030669,1.5
"Canada",61223.898,0,23.5,55.200001,9.6999998,28.5,113.4,42.099998,17,0.31027037,0.67000002,0,0.32259259,0,0,933.90002,0.89999998,31.799999,16.200001,50.900002,27.1,44.799999,22,98.099998,402.70001,21.299999,1.3,73.099998,50.900002,650.90002,7.3000002,5.8000002,100.9,69.099998,11.8,2904.3,194.3,552.09998,465.3522,24.64781,1252.8,469.10001,347.70001,62,0,21.1,53.5,168.89999,33.200001,48.799999,1323.7,2.7,0,36.099998,55.599998,0.40000001,7.5,42.900002,20.700001,200.5,596.90002,132.2,184,9.3999996,0,0,0,0,0,0,0.19347131,0,0,0,12.3,12.1,0.32052708,0.89999998,6.5999999,0.89280581,2.5,0.2,274.29999,4.5,0,0,0,26,1.9,15,2.3,0,0,0.1,0,1.8,33.700001,0,0.1,5.4000001,2.2,264.29999,0,0,0,6.1999998,0,10.7,0,15.5,9.1000004,7.4000001,17.700001,0,165.5,45,0.60000002,4.0999999,0.11,0.80000001,1.3,103.7,147.10001,0,0.5,0.2,2.7,0.5,1.8,3.3,0,448.39999,0,1381.1,0.40000001,1385.1,6037.3999,130.8,0,116.2,14.8,1.2,28.4,0.55500001,0.60000002,119.1,0,0,5.3000002,118.4,164.60001,0,86.599998,90.400002,397.10001,0.30000001,136,0,0,3.9000001,0
"Bahamas",840.18799,18.931999,0,0.13699999,0.12899999,0.127,1.5470001,0.23999999,1.3609999,0.025062593,0.0020000001,0.001,0.0060000001,0.017999999,0,114.687,0.001,0.78600001,0.0070000002,0.016000001,0,0.089000002,11.764,33.685001,21.191999,0.050000001,0,3.9070001,0.015,7.25,0,0.12,0.0049999999,0.101,0.061999999,449.33899,3.506,8.3760004,0.62680101,0.033199102,12.865,10.305,4.9489999,0.1,0,0,0,1.411,0.161,0.015,4.6079998,0,0,0.0020000001,0.34999999,0.0070000002,0.0020000001,0,3.9089999,0.018999999,4.757,0.109,2.641,0.037999999,0,0,0,0,0,0,0,0,0,0,0.384,0,0,0.001,0.0020000001,0.00022420478,0,0,642.77698,35.669998,0,0,0,22.190001,0,0,0.001,0,0,0,0,0.0040000002,69.321999,0,0,0,0,43.483002,0,0,0,0,0,0,0,0.0099999998,0,0,16.881001,0,129.94099,0,0.108,15.394,0,0,0,0.64399999,167.127,0,0,0,0,0,0,0,0,0.226,0,1.456,0.42500001,2.6329999,29.915001,5.21,0,0.059999999,0,0,0.027000001,0,0,0.31600001,0,0,0,0.082999997,19.127001,0,0.093000002,495.263,0.175,0,0.64499998,0,0,0,0
"Cuba",1.54,287.76001,0,0,0,0,0.26730001,0.033,0,0,0,0,0,0,0,55.161358,0,0,0,0,1.167769,0.0055,1.0065,2.398,396,1.6316065,0,0,2.1559999,1.452,0,0,0,199.95799,1.166,95.260002,0,32.889999,23.71397,1.256032,59.18,23.98,320.78201,6.5120001,0,219.38181,29.486601,23.65,57.486,115.06338,73.919998,0,0,41.557999,0,0,0,92.482605,0,4.3010001,29.700001,0.91299999,9.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0555215,0,0,0,0,0,0,0.11625604,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,8.349,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.16,0,0,0,0,326.04001,2.9482589,0,0,0,0,0,0,0,0,0,0,14.202,0.11,0.759,0,0,0,5.6430001,0,19.041,0,0,0,0
"Haiti",187.56241,23.758741,0.21367154,0,0,6.0795779,0.88247299,17.697369,0.18875916,0.14444445,0,0,0,0,0,1.0673995,0.021,0.69083935,0.0089999996,0.034000002,0,0.68988121,2.0820997,0.48483315,0,0,0.33344257,0,0.090000004,3.740689,0,0,0.035452228,1.0721903,0,3.8489621,0.25,12.728308,1.082656,0.0573439,9.6468382,3.8786652,1.3931767,0.059999999,0,0,0.11114752,0.057490099,0.086235151,0.81731755,1.3289795,0,0,0,0.036410395,0,0,0.25391459,0,0.26445445,0.61035323,1.7170376,1.1852542,0,0,0,0,0,0,0,0.002899182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68317401,0.56099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26349628,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,4.0904207,0,0,0,1.9949064,22.81782,0.089109652,0,0.039999999,0,0,0.018999999,0,0,0.22612771,0,0,0,0,0.43405023,0,0,0,0.050000001,0,0.62376755,0,0,0,0
"Dominican Republic",621.10999,26.790001,0.029999999,0,2.22,0,1.65,3,0.0020000001,0,0,0,0,0,0,124.28,0.029999999,6.21,2.55,1.99,0.079999998,3.23,26.969999,8.1700001,175.36,0.11,0.13,0.079999998,0.28,25.84,0,0.98000002,4.4899998,6.5500002,0.30000001,15.69,1.2,13.96,12.84942,0.68058127,16.610001,5.3000002,28.629999,0.40000001,0,4.0700002,0.02,0.58999997,0.039999999,0.16,31.35,0.15000001,0,0.050000001,0.15000001,0,0,0.029999999,0.039999999,0.55000001,1.79,5.0599999,1.25,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040000002,0,0.00033630716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,3.3299999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000001,0.14,0,0,0,0,1.3200001,0,0,0,0,0,0,0,0,0,0.44,0,20.52,0.79000002,7.1900001,216.89,0.23999999,0,0.059999999,0,0,0,0,0,0.88999999,0,0,0,0.02,0.41999999,0,0.050000001,0.12,1.95,0.021,9.0100002,0,0,0,0
"Jamaica",490.94501,51.428001,4.033,0.0049999999,0.127,0.69400001,0,18.872,2.898,4.0029998,0.012,1.028,0.041999999,0.032000002,0,15.088,0.53500003,3.54,1.599,0.023,0.028000001,3.279,1.3430001,4.822,75.755997,4.664,0.035999998,26.961,0.115,12.587,0,0,0.078000002,1.061,0.056000002,65.834999,0.73400003,13.935,4.4066,0.2333997,6.9959998,4.9039998,2.3039999,0.24600001,0,0.26100001,0.44,1.809,0.15899999,0.271,7.5510001,0,0,0.62199998,0.28999999,0.0099999998,0,0,5.283,1.934,3.8959999,4.1830001,2.0599999,0.041000001,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0.032000002,0,0.458,0,0,0,0,0,0.012,0,0.109,0,0,0,0.003,0,0.059999999,0.02,0,0.034000002,0,0,0,0,0,0,0,0,0,0,0,0.063000001,0,0,0.088,0.0049999999,0.126,0,0.035,0.066,0,0,0.97799999,0.0049999999,0,0.0099999998,0,0,0,0,0,0,1.117,0,8.3430004,0.12800001,5.0219998,36.362,0.68699998,0,0.061999999,0.0080000004,0,0.0040000002,0,0,1.364,0,0,0,0.495,1.2819999,0.338,0.43099999,0.625,0.89600003,0,5.3179998,0,0,0,0
"Trinidad and Tobago",571.5,82.330002,0.081,0.02,0.02,1.54,16.34,0,12.48,1.2961204,2.98,0,27.42963,0,0,2.4300001,2.8299999,3.23,6.1999998,0.28999999,0,0.66000003,0.63,2.04,22.42,4.3400002,0.22,0.52999997,0.33000001,31.57,0,0,0.34,7.5700002,0.039999999,131.28999,3.74,25.969999,15.36612,0.81388068,12.57,5.6300001,5.7600002,1.51,0,0.1,0.13,3.1300001,0.039999999,0.75999999,26.93,0.36000001,0,0.2,0.23999999,0,0,0,0.15000001,1.99,6.0999999,5.6900001,8.3299999,0.16,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.0099999998,0,0,0,0.050000001,0,0,0,0.0099999998,0.029999999,0,0,0,3.3699999,0,0,0.0099999998,0,0,0.51999998,0.0099999998,0.059999999,0,0,0,0.75999999,0.079999998,0,0,0,0,0,0,0,0,4.7800002,0,27.98,0.13,13.46,141.86,3.0799999,0,0.090000004,0.050000001,0,0.13,0,0,1.3200001,0,0,0,0.40000001,2.0999999,0,0.079999998,0.039999999,12.83,0.029999999,8.0699997,0,0,0,0
"Barbados",237.205,38.993999,0.0040000002,0.204,0.055,0.49200001,12.89,41.789001,0,0.81099999,0.289,0,0.8888889,0,0,1.5650001,0.145,0.565,4.7420001,0,0,0.45300001,0.097000003,0.81,25.225,2.2420001,0.010644258,0,0.23999999,7.75,0,0,0.47600001,1.5470001,0.47799999,63.568001,3.3740001,8.4750004,3.0390351,0.16096529,7.7909999,3.0810001,2.1300001,0.23800001,0,0.097999997,0.079000004,1.099,0.052999999,0.208,3.8599999,0.041000001,0,0.07,0.034000002,0.039999999,0.0040000002,0.117,0.037999999,1.39,6.0679998,1.778,3.45,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0.025,0.013,0,0,0,0,0,0,0,0.001,0.0049999999,0.027000001,0,0,0,0,0.001,0,0,0,0,0,0,0,0.003,0,0.017000001,0,0.003,0,0.003,0,0.19400001,0.0080000004,0,0.001,0,0,0,0.0070000002,0,0,1.1900001,0,7.546,0.0020000001,5.053,33.095001,0.47600001,0,0.0070000002,0.20299999,0,0.377,0,0,1.007,0,0,0,0.389,0.76099998,0,2.4760001,0.63999999,2.7709999,0.001,6.7049999,0,0,0,0
"Dominica",12.950253,3.325099,0.000061851853,0,0.0011392593,0.29889703,1.1505407,5.1222725,1.8032441,0,0.092449628,3.80707,1.2015082,0.41574851,0.13559666,0.016248148,0,0.0057044444,0.072789259,0,0,0.18998703,0.057855185,0.018655555,0.39962038,0.51847368,0.17426963,0,0,0.3435111,0,0,0.002025926,0.050722223,0,11.795301,0.014195556,1.682917,0.3228974,0.017102599,0.50705296,0.22450334,0.025996666,0.046147779,0,0.0027448148,0.0050262962,0.012561852,0.00030185186,0.053671852,0.25638631,0,0,0.0071118521,0.0026974075,0,0,0,0,0.028070001,0.060946666,0.031696297,0.29608628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000074074073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000083333332,0.000027777778,0,0,0.0027777778,0,0,0,0.0000037037037,0,0.00016481482,0,0,0.0029225927,0,0,0.000012962963,0.000081111109,0,0,0,0,0,0,0,0.0013585185,0,0,0,0,0,0,0.46954483,0,0.4401837,0.0081692589,0.037919261,3.7382314,0.017196296,0,0.00050777779,0.0054159258,0,0.00099666661,0,0,0.17923963,0,0,0,0.0010188889,0.076726295,0,0.00077296299,0.0015825926,0.021852221,0,0.023125926,0,0,0.0040211109,0
