"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Liechtenstein","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","San Marino","Malta","Albania","Croatia","Yugoslavia","Bosnia and Herzegovina","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Marshall Islands","Federated States of Micronesia","Samoa"
"United States of America",0,14068.423,176.65,1.43,127.56,1352.9818,387.73,320.186,179.677,29.3822,18.29,86.7677,43.4611,62.1,22.51,12820.394,94.249,9.0382,303.8,278.187,159.1,155.918,475.578,492.553,2142.8975,6.8,172.8792,669.591,341.0911,2599.0942,104.2022,153.7521,357.55,1856,93.646,3582.371,851.4553,4394.7329,607.2158,38.5439,4841.133,0,1548.7144,4169.519,216.2918,2499.998,123.0121,788.6115,49.5,351.1066,2951.1859,0,17.8947,34.12,0,151.79,0,0,451.9871,266.4391,41.463,36.1,136.2661,2373.6,51.8045,49.05,43.34,226.5,62.167,25.78,9.6336,23.3741,28.3645,545.4326,161.5588,132.5265,34.5596,0,2.56,1.43,11.89,10.12,10.94,68.9531,22.7554,44.3,10.3985,108.2208,58.55,29.6721,20.26,33.69,116.114,14.12,24.8749,4198.51,923.23,1.7595,5.53,458.7028,222.92,3.23,73.0188,25.29,0.4515,0.04,20.49,11.66,28.9198,2262.55,38.1,1.2369,84.5851,48.93,630.2,10.1,52.2,34.2,21.8,29.1476,9.84,98.7815,3.7982,240.2029,739.554,268.458,0,46.26,810.8,1416.939,0.44,989.472,167.7521,313.17,343.361,676.1999,3788.6332,191.7867,1168,466.49,152.6363,669,53.6962,1.87,35.54,8.9527,22.4,56.4345,7.73,18509.7979,5.6,10601.2,0.55,956.898,46788.301,1807.3467,0.8,48.8115,641.735,37.09,695.573,28.493,83.49,3150.561,17.61,5.41,1.885,2209.6885,321.488,413.61,1997.4519,881.8601,6218.923,9.14,465.363,3.97,56.99,27.273,0,0,8.2109
"Canada",14068.423,0,24.2539,130.4296,5.8823,25.5783,99.0752,38.6594,25.7976,4.0717,2.1727,10.4553,3.6828,6.9393,1.85,1270.574,0.8238,13.5017,10.203,3.5992,21.4283,93.8869,9.6329,60.7776,1.7252,29.9231,4.195,51.1352,15.2839,130.7715,5.4244,1.2791,2.0879,33.6247,6.3541,410.8909,256.1705,173.2847,185.7211,11.7889,897.0735,0,335.668,177.3767,4.1932,448.1396,1.9547,1.9193,0.9346,7.0442,118.9956,0,0.0075,0.1716,0,30.0942,0,0,3.2763,17.3414,7.0153,2,7.3673,899.5,0,0,0,0,4.043,0,0,2.1489,78.6746,443.1195,866.9349,6.8619,6.1369,0,0.1515,0.0047,0,0.0376,0.5393,19.2993,0.6045,1.0612,7.2131,6.9407,7.3554,9.9752,0.2298,5.1055,16.9377,24.0048,14.528,381.5768,6.5235,0.4227,0.0777,0.5391,41.4327,5.7084,1.1642,11.4454,0.3369,3.7766,1.3623,0.3378,9.5059,5.5564,1.1677,1.7834,10.921,1.5035,36.3924,17.2,2.214,2.2958,17.4422,4.7404,0.4171,10.1378,0.3691,90.5399,91.3962,61.1071,70.8713,5.6675,485.5652,44.3153,3.6613,26.9175,10.1907,23.2191,14.6893,8.6252,194.5682,11.92,43.4223,2.0993,13.1091,66.7245,14.6703,0.1289,9,9,1.1,0,0,318.9857,0.8,1459.3609,2.0455,253.555,2158.4683,160.9844,0.0034,26.6473,79.9955,0.7797,15.4355,0.0828,2.9088,118.3438,2.2974,2.791,1.0633,279.4902,237.949,2.563,50.1001,100.234,63.4141,55.688,38.5058,0.0166,0.0026,6.6098,0,0,0.1434
"Bahamas",176.65,24.2539,0,0.0526,0.2042,0.0454,0.6501,5.8136,0.9299,0,0,0.0629,0.0007,0.0223,0.0097,15.3164,0.0058,0.023,0.02,0,0,0.359,0.0004,5.9151,0,0.0321,0.0062,0,0.0858,2.1626,0,8.78,1.1859,0.8722,0.297,22.4269,0.2092,70.7504,2.1533,0.1367,272.5363,0,17.8781,44.6989,2.8828,7.4312,44.044,5.5362,0,0.0286,27.3382,0,0.1484,0,0,0.0031,0,0,4.1609,0.0423,0,0,1.65,0,0,0,0,0,9,0,0,0,36.9398,49.6116,18.2978,43.6363,0,0,0,9,0,0,9,0,0.2418,0,9,1.1376,0,0,0,0.0012,0.0439,9.0066,0,0,32.102,0,0,18.1898,0,0,0,0,0,0,0,0,9,0.7648,0,0,0.0086,0,0,0,0,0,0,0.4183,0,0,0,0.026,0,0.2495,0,0,178.31,0,0,0.003,0,7.2695,0,0.35,2.9303,0,0,0,9,0,9.0007,0,0,0,0,0,0,1.7644,0,1.7407,0.025,80.52,435.6139,25.7222,0,0.2247,0,0,0,9,0,0.4153,0,0,0,0.2127,13.2127,0,0.3242,0.1646,2.3099,9,1.2177,9,0,0,0,0,0
"Cuba",1.43,130.4296,0.0526,0,0,0.9515,0.0041,13.1531,0.2256,0,0,0,0.0015,0,0,120.1904,0,0.0088,0,0,2.1505,0.7079,1.0559,12.9194,65.4423,4.3791,0,0,0.2992,3.4463,0.4307,0.0264,4.3603,67.201,1.3949,40.2036,1.5462,23.642,18.1762,1.1538,55.1921,0,18.2306,134.9601,25.8191,35.314,5.3053,0.2176,8.93,3.5167,61.2624,0,0,0,0,15.3902,0,0,0.0207,0.5826,23.152,0,0.0188,441.2,0,0.1213,0,0,14.111,0,0,0,16.2512,5.639,0.194,10.1569,0,0,0,0.8613,0,0,0,0,9,0.0062,0,0.1698,9,9.0012,0,9,0.3391,0.0011,0,0.3789,0.0171,0,0,0.0038,9,0,0,0,0,9,0,0,0,9,0,0,0.0834,0,5.6514,0,0,0,0,0,9,0,0,7.6743,54.257,10.2977,31.4017,0,0,0,0,8.1037,0.9842,0,0.581,0,0.4083,0.051,0,0,9,0,0.0138,0,0,0,0,0,0,46.4293,0,0.3449,0,6,94.4254,5.3706,0,0,9,9,0,0,0,0.3284,9,0,11.8155,0.0477,0,9,0,0.0285,0.3091,9,13.1782,0,0,0,0,0,0
"Haiti",127.56,5.8823,0.2042,0,0,0.1653,0.9044,0.0009,0.1283,0.0001,9.0005,0.039,0.1689,0.0024,9.0011,4.8642,0.005,6.6076,0.0172,0.0979,0.0002,0.7216,0.0194,1.0979,4.4,0,0,0.0205,0.0128,1.1517,0,0,0.0989,0,0.013,12.2356,1.6102,10.9168,3.9211,0.2489,5.8364,0,1.5491,3.0764,0.103,4.3353,0.2574,0.1867,0,0.2365,2.1008,0,0.0005,0,0,0.0194,0,0,0.0959,0.0636,0,0,0,0,9,9,0,0,0,0,0,0,0.1345,1.7039,1.8963,1.2248,0,0,0,0,0,0,9,0.0001,0,9.0047,9,0.0001,9,0.0628,0,9,0,0,0,0,0,9,0,0,0,0,9,0,0,9,0,9,9,0,0.0001,0,0,0,0,0,0,0,0,0.0175,9,0,0,0.043,0.0004,0,0,0,0,0,0,0,0,0,0,2.64,9,9.0001,9,0,0,0,9,0,0,0,0,0,0,0.1408,0,2.6893,0,3.96,1.4953,0.0767,0,0.0676,0,0,0,0,9.0001,0.0691,0,0,0,25.7287,0,0,0.0044,0,0.1454,0,0,9,0,0.0077,0,0,9
"Dominican Republic",1352.9818,25.5783,0.0454,0.9515,0.1653,0,3.2601,35.3048,1.1346,0.041,0.187,0.6956,0.0289,0.02,0,191.9302,0.0839,6.7555,0.82,4.9784,0.1697,11.2319,0.8615,39.3624,140.9661,0.0213,1.585,0.005,1.5268,66.1342,0.0248,0.003,11.7805,32.7571,3.3114,2.2599,0.762,9.6172,34.5095,2.1905,30.4505,0,8.7149,53.6034,5.3148,21.5329,1.7083,1.949,0,0.011,17.4597,0,0.0089,9,0,0.3785,0,0,0.1356,0.0289,0,0,0,0,0,0,0,0,9,0,0,0,13.6363,2.9035,12.0727,24.7655,0,0,9,0,0,0,0,0,9,0,0,0,0,9.0033,0,0,0,9,0,0,0,0,0,9,9,0,0,9,9,0,0,9,9,9,0,0,0,9,0,0,0,0,0,0.0351,0,0,9,9.6923,8.626,0.837,0,9,0,0,0,0.1628,9,0,0,2.42,0.3893,9,9,0,9,0,0,0,0,0,0,0,0,22.1866,9,78.2775,1.4271,72.395,209.9092,0.6505,0,0.5844,0.0338,0,0,0,0,6.5051,0,9,0,1.0291,0,0,0.154,0,0.0049,0,10.6134,9,0,0,0,0,9
"Jamaica",387.73,99.0752,0.6501,0.0041,0.9044,3.2601,0,3.1145,9.1877,4.7764,1.5014,2.3865,0.3706,2.8342,1.8924,112.9007,3.4308,6.512,0.0776,0,0.1287,5.5773,0.3634,21.4515,37.6662,1.3216,3.5714,0,0.1309,17.754,0.002,0.0011,0.3752,1.0345,0.2397,141.798,1.4817,24.7838,6.9677,0.4423,3.314,0,6.1599,0.1113,2.7833,36.4285,0.2915,0.4427,0,0.3157,7.2785,0,0.0536,0,0,0.0034,0,0,0.3976,0.155,0,0,0.11,32.3,0,0,0,0,0,0,0,0,0.119,4.3099,95.4781,0.2505,0.0656,0,0,9,0.0004,0,0,0,0,0,9.0038,0.0164,0,9.0203,0,0.002,42.3059,0.007,0,0.1007,0.0068,9,0.0144,0,0,0.0004,0.0257,0,0,9,0,0,0,0,0,0.0019,0,0.1004,5.0098,0,0,0,0.0268,0,0,0,0,0.0036,0,0.0272,0,0,0,0,0,0.138,0,0,0.043,2.53,0.2131,0,0,0.6377,0,0,0,0,0,0,0,0,0,9.3203,0,11.4195,0,19.8,46.7936,0.6879,0,0.001,0.082,0,0,0,9,5.0633,0,0,0,6.9766,3.8969,0,0.0539,0,0.4473,0,9.1632,0.0144,0,0.0059,0,0,0
"Trinidad and Tobago",320.186,38.6594,5.8136,13.1531,0.0009,35.3048,3.1145,0,46.8013,10.2693,22.3702,27.5318,13.8985,0,0,25.8716,0.9619,0.1799,0.0023,0.3403,0.3759,6.5414,8.7064,18.2289,105.5476,39.3726,59.6296,9.9145,2.1467,30.8032,0.0037,0.4822,10.2664,8.4852,0.053,49.4931,13.3804,14.6434,3.9023,0.2477,35.7276,0,14.0475,38.2159,1.2927,12.0733,1.6875,2.8614,0.1521,1.6188,5.8465,0,0.0028,0.7606,0,0.0815,0,0,0.0527,0.0512,0.0351,0,0.0299,0,0,0,0,0,0,0,0,0,1.0054,2.1638,1.6003,0.6212,0.0005,0,0,0,0,0,9,0.0016,0.0276,0,0,24.5051,4.3212,0.0087,0.0108,0,0.0012,0,0,1.0666,0.0071,0,0,0,0,0.0155,0.0165,0.2112,9,0.026,0.0102,0,0,0.0001,0,0,0.0659,0.0743,0.018,0,0.0072,0,0.019,0.0003,0,0.0001,0,0.8334,0.0419,0.0034,0.0004,0.0855,0.2256,1.8465,0,0.1288,0.0166,0.0025,0.0118,0.3357,0.259,0.0005,0,0.0047,0,0,0,0.0174,0,0,0,0,0,11.9899,0,13.3246,0.1169,9.8178,67.331,1.0792,0,0.1869,0.018,0,0.0695,0.0152,0,1.3527,0,9,0.0828,1.8117,2.1831,0,0.1776,1.5411,0.7735,0.0151,11.2893,0,0,0.8569,0,0,0
"Barbados",179.677,25.7976,0.9299,0.2256,0.1283,1.1346,9.1877,46.8013,0,1.3816,3.2493,5.1013,1.1686,2.9985,3.1065,0.8247,0.079,5.143,0.295,0,0,0.4774,0.342,1.566,21.8616,1.8081,0.3508,0.008,0.3911,6.5362,0.0209,0.0428,0.3796,0.98,0.329,7.724,2.7518,4.3302,1.2412,0.0788,7.96,0,3.3032,0.7324,0.4025,10.5681,0.1447,0.5856,0.231,0.1062,1.1336,0,0.0055,0,0,0.038,0,0,0.0325,0.0369,0,0,0.026,0.0573,0,0,0,9.001,0,0,0,0,1.1909,0.2318,2.4149,1.0906,0.144,0,0,0,0,0,0,0.0055,0,0,0,0.0017,0,9,0,0,0.016,0.0022,0,0,9,0,0,0,0,0,0.074,0.045,9,9,0,0,0,0,0,0.0075,0.0246,0.0124,0,9,9,0,0,0.003,0,0,0,0.001,0,0.0069,0,0.001,0.004,0.081,0,0.001,0,0.002,9,0.393,0.0015,0,0,0,0.001,0,0.0015,0,0,0,0,0,0,6.0211,0,4.3368,0.014,4.82,20.5875,0.4013,9,0.0062,0.0328,0,0.105,9,0.002,1.0305,0,0,9.003,0.4339,0.7337,0,0.0595,0.64,1.9418,0,9.027,0,0,0,0,0,9
"Dominica",29.3822,4.0717,0,0,0.0001,0.041,4.7764,10.2693,1.3816,0,0.3243,2.0659,1.9841,1.4574,0.7635,0.1185,0.059,0.868,0,0,0,0.333,0,0.039,0.3155,0.2269,0.0196,0,0.0162,0.6407,0.0357,9,0.008,0,0.142,22.0905,0.3071,1.803,0.0376,0.0024,2.498,0,1.0326,0.1585,3.7515,1.1617,0.0134,0.5606,0,0.8151,1.6172,0,0,0,0,0.1249,0,0,0.1629,0.0334,0,0,0,0,0,0.926,0,0,0,0,0,0,0.0726,0.0206,0.7402,0.276,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,9,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1217,0.0867,0,0,0,0,0,0,0.0222,0,0,9,0,0,0.0088,0,0,0,0,0,0.112,0,0,0,0,0.1509,0,0,0,0,0,0,0,0,0,0,0,0,7.101,0,0,0,1.2,4.0876,0.0947,0,0.0627,0,0,0.725,9,0,4.8898,0,0,0,1.7107,0,0,0,0,0.0198,9,0.031,0,0,0.163,0,0,9
