"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Monaco","Liechtenstein","Switzerland","Spain","Andorra","Portugal","Germany","Poland","Austria","Hungary","Czech Republic","Slovakia","Italy","San Marino","Malta","Albania","Macedonia","Croatia","Yugoslavia","Bosnia and Herzegovina","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Eritrea","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Marshall Islands","Federated States of Micronesia","Samoa"
"United States of America",0,17082.511,399.31,2.64,81.63,1570.1284,457.68,327.0153,184.326,29.0004,35.3999,88.7542,44.8785,56.6,36.59,10451.481,102.558,102.0287,396.6,342.699,61.7,188.6653,499.2875,218.6221,2791.9644,25.46,358.4684,752.738,527.0281,740.458,65.4665,179.0547,775.7341,2561.0991,52.641,2249.449,1199.1912,4175.7764,408.4643,27.9264,1912.385,0,0,2259.6594,2420.1229,0,65.6511,5226.032,487.917,679.6701,74,119.1553,58.2003,5955.5437,0,84.3928,6.7078,90.935,11.122,0,8.72,54.754,448.094,218.3112,45.07,13.8,296.8,457,3.1431,13.7258,44.38,138.02,47.617,26.1415,19.533,20.6213,412.6791,937.1489,133.5292,323.3502,116.9305,0,2.15,1.56,0.37,1.6,34.26,50.3954,1.2334,14.02,7.5282,92.6484,82.55,18.9781,19.12,29.32,17.24,10.05,47.8432,4628.9,955.58,0.6516,8.28,511.2654,212.38,11.68,0.6707,23.29,1.3025,3.81,33.35,14.52,49.652,0.9,2052.1401,23.4,21.8772,39.3346,49.12,267.6,3,54.3,16.1,20.9,16.2802,9.38,171.0922,13.8115,491.146,399.346,314.8645,0.22,45.45,823.6,2070.2,4.51,565.9768,122.0071,386.36,429.4803,980.3999,2630.1191,160.3748,893.61,609.01,147.7648,1012.5,27.0296,7.54,47.95,9.9672,52.49,73.43,33.67,22879.86,18.38,10050.6,2.2,275.4,54474.626,2623.4399,0.2,57.6215,779.3666,36.46,945.4269,23.8369,104.46,3602.7559,19.52,4.8,3.75,3197.8774,905.304,734.35,1643.7781,2632.2773,6504.605,51.35,410.7607,2.69,0.84,20.1164,0,0,9.4741
"Canada",17082.511,0,14.5911,31.8317,3.7086,19.9933,86.3577,50.1333,20.3901,2.2327,4.0168,9.9318,4.5641,6.8922,1.2028,1651.7826,4.0031,7.1541,1.5681,5.4971,7.9889,77.9185,11.6305,59.8528,4.3804,121.1339,6.4035,80.8538,11.7574,153.8304,1.2877,6.7286,23.997,10.5922,18.8545,1011.6756,252.2817,105.4893,8.7798,0.6003,693.9463,0,0,362.7508,32.4239,0,53.3703,584.0586,19.4326,224.5266,3.2687,108.0562,10.9645,464.0348,0,7.1235,0.0008,0.991,5.351,0,0,12.162,12.6522,14.1312,14.175,1.8,27.8597,45.9,0.9353,0.2598,0.9434,11.512,7.842,0,0.421,0.0489,92.8747,493.9057,418.726,70.4992,15.1526,0,0.0292,0.0243,0.1397,0.1523,1.4052,2.3257,0.7699,5.8123,6.7868,4.8549,4.7044,3.078,1.116,3.0448,11.2084,25.0881,8.4402,517.416,41.5531,0.0584,0.0337,0.9527,2.4365,0.6931,0.315,5.2598,0.289,2.2498,3.6392,0.3329,10.0405,0,18.5795,5.2991,7.9168,9.308,0.3767,57.7737,6.0989,2.6725,1.5495,7.751,4.0626,0.042,5.5197,1.2248,48.2292,56.7062,27.858,74.386,3.8506,66.7539,72.5898,0.7241,31.9527,29.8457,24.3479,11.1228,23.1308,145.8394,2.0163,25.7977,3.9172,4.1798,57.8432,39.8191,0.1426,0,0.0274,0,36.9142,10.8097,1256.5218,0.32,1475.1632,0.4531,177.5234,927.7534,93.3933,0.0203,110.2664,5.525,4.9699,22.6917,0.1921,2.2098,248.0304,3.2848,1.1214,4.1256,505.9844,339.6251,4.8429,172.5193,36.5197,129.1802,1.2575,62.3842,0.3583,0.2849,17.1133,0,0,1.0008
"Bahamas",399.31,14.5911,0,0.0626,0.2439,0.0271,0.7736,1.7104,0.6643,0,1.6791,0.0707,0.0058,0.0265,0.0116,30.3303,0.0032,0,0,0.307,0,0.213,0.3623,1.5927,0,0.0382,4.9944,0.189,3.0976,2.6972,0.0919,6.253,0.0059,0.2159,0.3267,30.0721,2.595,6.0197,27.4437,1.8763,287.804,0,0,15.5232,179.4959,0,1.1857,20.7051,0.052,4.0095,0,0,0.0434,595.7491,0,0.3027,9,0,0,0,0,0.009,10.2664,0.0019,0,0,0.22,36.31,0.0886,0,0,0,9,0,9,0,0.5018,13.6984,0.5166,174.0795,0,0,0,9,0,0,9,0,0.1254,0,9,0.5963,0,0,0,0.0015,0.0522,9.0079,0,0,35.0361,0,0,0,0,0,0,0,0,0,0,0,9,0,0.9101,0,0,0.0085,0,0.0164,0,0,0,0,0.1022,0,0,0.0193,10.2725,9.6001,0,0,0,0,0.177,0,0.006,0,8.6507,0,0.08,0,0,0,0,9,0,9,0,0,9,0,0,0,1.7133,0,1.1963,0.0298,0.24,493.6693,6.397,0,0.3784,0,0,0,9.0001,0,0.0719,0,0,0,0.0997,16.8764,0,1.7932,0.0792,1.5229,9,0.7197,9,0,0,0,0,0
"Cuba",2.64,31.8317,0.0626,0,0,0,0.0048,10.6531,0.2299,0,0.0017,0.0009,0.118,0,0,65.7272,0.001,0,0,0.3181,2.2771,2.5382,2.0039,19.3699,127.3866,5.2111,0,3.7737,0.924,9.8769,0.1943,0.0374,4.7517,76.8004,0.2553,11.1332,4.8271,30.587,46.4165,3.1735,99.4148,0,0,6.6608,144.7056,0,32.7327,22.4342,2.9266,0.8362,2.54,0.0873,1.9094,37.4929,0,0.0062,0,0,0,0,0,4.15,0.0462,1.6849,27.5509,0,2.31,323.22,0.0059,0.2675,0,0,1.4795,0,9.599,0.0038,16.0653,2.6706,0.1002,4.6262,0,0,0,1.025,0,0,0,0,9,0.0074,0.0459,0.044,9,9,0,9,0.4035,0.0013,0,0.3839,0.0174,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0.1212,0,11.7982,0,0,0,0,0.0005,9,0,0,1.072,47.5668,0.005,31.8162,0,3.9,0.457,0,1.1345,14.8559,0,0.144,0,0.2045,0.0818,0,0,9,0,0.0103,0,0,0,0,0,9,121.1379,0,0.8001,0,0,30.6165,3.3636,0,0,9,9,0,0,0,5.0121,9,0,30.2542,0.5867,0,9,0,14.7599,0.3211,9,2.3095,0,0,0,0,0,0
"Haiti",81.63,3.7086,0.2439,0,0,8.7886,1.0796,0.8169,0.1719,0,0.0049,0.0131,0.084,0,9,10.5479,0,4.9589,0,1.5005,0,0.8519,2.3874,0.4336,1.3211,0,0,0,0.0198,0.3454,0.0079,0,0.0682,1.4509,2.3848,15.4237,0.1577,13.2441,7.4787,0.5113,8.7791,0,0,1.0532,2.5232,0,0.0981,6.0314,0.0578,0.1229,0,0,0.0262,2.6675,0,0.0001,9,0,9,0,0,0.14,0.033,0.063,0,0,0,0,0,9,0,0,0,0,0,0,0.3674,0.6505,0.9288,0.627,0,0,0,0,0,0,9,0,0,9.0056,9,0.0028,9,0,0,9,0,0,0.0003,0,0,9,0,0,0,0,9,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0.0569,9,0,0,0,0.0121,0,0,0,0,0,0,0,0,0,0,2.97,9,9,9,0,0,0,9,0,0,0,0,0,0,0.6418,0,6.1072,0,3.96,17.5378,0.1013,0,0.2023,0,0,0,0,9,0.4523,0,0,0,26.6722,0,0,0,0,0.0599,0,0.0345,9,0,0,0,0,9
"Dominican Republic",1570.1284,19.9933,0.0271,0,8.7886,0,0.5082,35.0074,0.381,0.003,0.2626,0.6842,0.029,0.096,0,219.6513,0.0896,12.9532,0.65,6.4901,0.1589,14.0116,1.2825,42.9413,201.0877,0.132,4.0297,1.442,0,73.6208,0.0111,0.081,12.3205,53.2691,1.7262,7.7631,26.8827,27.4334,9.6502,0.6598,26.0132,0,0,6.8037,52.4641,0,2.836,15.5326,0.8496,2.3814,0,9,0.2334,70.6181,0,0.0064,9,0,0,0,0,0.266,0.2377,0.0097,0,0,0.88,0,0.0031,3.3453,0,0,9.6061,0,0,0,8.6416,1.4565,11.4718,35.0128,0.0074,0,9,0,0,0,0,0.0006,9,0,0,0,0,9.0044,0,0,0,9,0,0,0,0,0,9,9,0,0,9,9,0,0,9,9,0,9,0,0,0,9,9.8268,0,0,0,0,0.0226,0,0,9,1.119,0.6897,0,0,9,0,0.178,0,0.091,9,0,0,2.97,0,9,9,0,9,0,0,0,0,0,0,0,0,40.4173,9,73.8441,1.6982,105.72,220.3989,0.669,0,0.4331,0.0421,0,0,0,0,11.2502,0,9,0.11,1.3411,0,0,1.166,0,0.5127,0,10.1183,9,0,0,0,0,9
"Jamaica",457.68,86.3577,0.7736,0.0048,1.0796,0.5082,0,56.3914,1.511,2.978,1.993,3.2191,1.4567,3.3727,2.2519,45.4806,1.7481,0.868,0,0.4455,0.1532,6.6771,0.6198,7.9817,42.0519,1.5727,2.1312,0,0.9713,35.6268,0.0055,0.0528,0.8294,3.0145,0.3729,89.7031,8.0639,27.8574,2.5459,0.1741,48.8448,0,0,5.68,3.338,0,0.4245,12.3982,0.8002,2.9633,0,0.1113,0.766,3.786,0,0.0328,0,0.137,0,0,0,0.021,0.2539,0.0253,0,0,0.11,0.04,0.0355,2.6341,0,0,9,0,9,0,0.0389,6.4381,98.6847,1.6456,0.0219,0,0,9,0.0005,0,0,0.005,0.012,0,9,0.0032,0,9.0008,0,0.0024,50.344,0.0084,0,0.1018,0.0074,9,0.0171,0,0,0.0005,0.01,0,0,9,0,0,0,0,0,0,0,0.0074,0.1194,3.8482,0,0,0,0.0319,0,0,0,0,0,0,0.3815,0,0,0,1.892,0,0.1766,0,0,0.0264,0.88,0,0,0,0.7588,0,0,0.0117,0,0,0,0,0,0,13.4472,0,16.2498,0,30.36,105.0207,1.9316,0,0.0724,0.257,0,0,0,9,6.0457,0,0,0,6.5773,3.6694,0,0.109,0,2.0476,0,8.7481,0.0171,0,0,0,0,0
"Trinidad and Tobago",327.0153,50.1333,1.7104,10.6531,0.8169,35.0074,56.3914,0,58.0108,8.9485,27.9726,27.9157,14.7061,0,0,23.1432,0.9588,1.8879,2.7214,3.6334,0.4824,4.8995,15.8799,32.9001,217.8366,58.3652,187.1046,5.4578,0.0157,23.1398,0.025,0,10.4825,2.8684,0.0576,46.195,12.36,6.9688,5.6816,0.3884,9.3834,0,0,5.9646,28.4333,0,0.9721,45.5876,0.3421,2.2535,0.0473,0,0.3404,6.7608,0,0.0012,0,0,0,0,0,0.187,0.0233,0.096,0,0,0.1196,0,0.0293,0,0,0,0,0,0,0,1.0382,1.9167,0.9193,3.2059,0.0413,0,0,0,0,0,9,0.5902,0,0.0152,0,15.3039,0.0004,0.0002,0.0239,0,0.0045,0.0086,0.0095,10.2957,0,0,0,0,0,0.0041,0.0884,0.2216,9,0.0001,0.0428,0,0.0006,0,0,0,0,0.0715,0.0011,0.0042,0.0504,0,0.0012,0.1011,0.0006,0,0,0,4.9622,0,0.0144,0,0.0011,0.1233,1.4647,0,0.034,0.0133,0.0024,0.0024,0.7296,0.0899,0,0,0.0009,0,0,0.005,0.0052,0,0,0,0,0,14.3047,0,7.218,1.037,4.1805,8.8115,2.7667,0,0.1804,0.0073,0.0317,0.1871,0,0,1.2024,0,9,0.0456,2.8451,2.7475,0,0.3626,0.6983,5.2195,0.0002,9.3529,0.0103,0,0,0,0,0
"Barbados",184.326,20.3901,0.6643,0.2299,0.1719,0.381,1.511,58.0108,0,0.2451,1.9468,6.838,2.2002,3.103,2.9001,0.759,1.263,4.171,1.904,0.039,0,1.0525,0.4496,0.041,20.8285,3.4319,0.0385,0.087,0.0961,6.8262,0.0053,0.011,0.357,0.778,0.114,15.4271,2.4442,2.095,2.2464,0.1536,7.9154,0,0,4.7849,1.4677,0,0.1316,4.9069,0.172,0.5752,0.251,9.178,0.0085,3.9796,0,0.001,0,0,0,0,0,0.002,0.015,0.03,0.001,0,0.038,0.107,0.0001,9,0,0.004,9,0,0,0,1.8011,0.8726,3.0967,1.1063,0.099,0,0,0,0,0,0,0.005,0,9,0,0,0.0108,9,0,0,0,0.0095,0.003,0,0.001,0,0,0,0,0,0.044,0.012,0,9,0,0,0,0,0,0,0,0.0099,0.0047,0.001,0,9,0,9,0.003,0,0.003,0,0.078,0,0.005,0,0,0.059,0.342,0,0,0.002,0,9.012,0.735,0.0974,0,0,0.001,0,0,0,0,0,0,9,9,0,5.036,0,4.148,0.363,5.301,30.0349,0.451,9,0.0528,0.027,0,0.109,9,0,0.6912,0.002,0,9.001,0.824,1.026,0,0.103,0.732,1.6384,0,8.9919,0,0,0.001,0,0,9
"Dominica",29.0004,2.2327,0,0,0,0.003,2.978,8.9485,0.2451,0,0.3857,0.9534,2.0813,1.377,0.6906,0.0169,0.69,0,0,0,0,0,0,0.091,0.4651,1.0057,0,0,0.7054,1.0396,0.0145,9,0.241,0.377,0,23.5949,0.0107,1.6004,0.4212,0.0288,1.6137,0,0,0.969,1.2416,0,3.8261,0.4155,0.063,0.2069,0,0,0.0857,1.132,0,0.0066,0,0,0,0,0,0.028,0.002,0.0079,0,0,0,0,0.0069,0.2368,0,9.019,0,0,0,0,0.0135,0.0351,0.2968,0.1973,0,0,0,0,0,0,9,0,0,0,0,0.001,0.0001,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2298,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.0709,0,0,0,0,0.5485,0,0,0,0,0,0,0,0,0,0,0,0,0.5285,0,0,0,9.6,0.0019,0.4433,0,0,0.118,0,0,9,0,7.152,0,0,0,3.0905,0,0,0.001,0,0.0376,9,0.0715,9.0002,0,0,0,0,9
