"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Monaco","Liechtenstein","Switzerland","Spain","Andorra","Portugal","Germany","Poland","Austria","Hungary","Czech Republic","Slovakia","Italy","San Marino","Malta","Albania","Macedonia","Croatia","Yugoslavia","Bosnia and Herzegovina","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Eritrea","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Kiribati","Fiji","Tonga","Nauru","Marshall Islands","Palau","Federated States of Micronesia","Samoa"
"United States of America",0,40981.23,729.2,4.9,362.51,1375.0073,722.923,303.0686,394.1586,33.9641,65.7262,123.4115,69.3881,93.1,51.1657,6295.05,102.142,427.9102,219.77,468.7614,138.8,2446.0176,841.8261,2482.3123,6448,16.14,32.87,923.24,248.5806,1224.402,440.2735,534.78,237.4699,2231.0542,173.1239,1448.461,3599.7984,10772.824,2570.6212,644.0167,1597.178,0,0,4227.1997,1096.4653,0,267.2517,17069.843,794.243,42.6729,909.23,442.1722,133.2151,12463.828,0,84.7694,4.5754,73.1079,125.55,0,33.01,1.2097,907.6282,354.6955,32.838,80.2172,84.96,3707.1934,57.87,179.4683,83.0978,200.4,29.8606,70.2693,55.14,72.1571,1191.9622,4246.6956,1609.4467,878.6621,48.4966,0,0.77,0.89,202.86,9.2912,23.9,56.0016,28.3004,27.68,2.4158,252.1998,113.1625,10.3,20.3,7.23,61.69,3.2461,21.7441,3932.7502,1546.91,2.25,5.04,375.36,214.48,6.19,97.19,62.8142,4.2425,45.68,2.88,19.81,37.46,5.9,2291.89,32.7,11.9671,34.1944,66.54,293.9729,166,111.6,16.3,26.5,65.4622,1.79,203.7483,2.0619,167.05,1216.6663,324.4122,0,7.92,45.5,310.1323,4244.7398,1636.3876,79.6124,448.29,335.7274,3575.2002,3425.2109,99.3234,615.5412,157.49,5.7451,2210.82,73.95,10.6,58.1,22.8264,53.6,358.55,118.8,66367.094,36.32,17518.602,12.43,6893.201,66480.582,6015.1997,0.3,1217.8168,1605.241,231.09,1653.7166,49.4734,168,8582.2021,581.8,12.69,329.897,10340.853,423.311,248.7981,6331.4889,7328.9341,9323.051,95.1,495.6523,14.8,0.57,5.1,22.99,3.4138,0.7,0,0,0,5.16
"Canada",40981.23,0,9.896,42.5675,23.7763,27.2102,52.2573,80.1078,38.3185,2.0805,6.0203,11.3034,4.9055,7.2931,4.804,3645.2913,4.9546,2.7026,37.0488,2.8916,2.7204,64.4163,8.4282,57.1336,460.8974,131.8333,58.1093,46.4724,40.9939,72.2605,3.8398,4.4226,94.2805,65.3431,17.3709,883.5698,508.2928,231.3219,557.2797,18.7923,2337.5828,0,0,508.7079,81.6999,0,53.6588,2451.0271,49.7122,189.1119,10.9445,12.7333,0.498,1188.2803,0,19.3671,1.6242,7.6337,41.1983,0,0.2651,19.9551,30.6835,14.9138,26.5091,4.2467,15.1119,283.0486,31.5002,11.7988,14.8609,22.1134,5.8825,9.3851,6.2103,2.085,290.0189,883.1412,1480.7644,228.5667,45.2796,0,0.1656,0.0159,0.0068,0.0907,14.1222,17.9009,2.0292,0.2897,1.2676,41.5905,0.2669,1.3669,3.0888,2.0778,35.6319,13.0729,9.1131,265.2899,1.0314,0.2286,0.2496,1.7126,3.7856,1.8745,21.9394,26.0721,0.0677,1.5857,0.0453,2.0118,1.1345,0,4.5545,15.0927,3.5038,7.4545,2.5706,223.0105,93.9114,1.9524,1.5535,1.5644,3.4667,0.0062,14.1503,0.2307,25.0384,99.0255,49.5151,35.6572,17.614,448.8642,7.8714,87.3011,85.4685,11.2749,22.8301,13.8634,20.7383,55.7545,14.8942,153.9551,3.0139,12.7893,115.0565,13.1579,0.3018,0.672,3.7058,25.3345,5.7572,11.5925,4293.8428,2.15,2669.2693,1.759,851.1785,3218.3057,370.5631,0.0029,100.8935,23.4047,20.2492,45.2595,3.0151,2.3093,782.0944,4.3778,2.1006,94.2162,1141.7717,500.9966,3.2579,574.3944,218.0073,258.11,8.2084,72.7091,0.1789,0.2491,0,0.6506,0.5564,0.0284,0,0,0,0.723
"Bahamas",729.2,9.896,0,0.1783,0.0537,0.4721,0.9847,10.7308,2.0722,0.047,0.0216,0.0725,0.0572,0.047,0.0168,8.4606,0.065,0.2394,0,25.4875,0,1.4803,0.9871,5.6767,0,0.0066,0.0634,0.1544,1.1418,4.9269,0.0112,0.0366,7.018,0.2299,1.2077,51.2763,3.2646,6.4442,6.4677,0.0023,77.6901,0,0,7.44,35.3623,0,0.0757,150.1967,32.485,1.5423,1.1649,0.9002,3.4912,282.3295,0,0.0424,9,0.0289,2.853,0,0,0.102,35.9856,0.1698,0.114,0.3643,0.028,122.7216,0.428,0.4419,0.5306,7.84,0.3235,0,1.2495,0.0024,7.7829,1.6463,10.0694,39.3143,1.4659,0,0,9,0,0,9,0.0013,0.8776,0,9,2.1967,0,0,0.012,0,0,9.0333,0,0,0.0021,0,0,0,0,0,0,0.0078,0,0,0,0,9,0,0,0,0,0,0,1.3144,0,0,0,0,0.0002,0,0.003,0,0,0.0646,0.2627,0,0,0,0.3629,0,0,0,0.05,0,0.03,16.6241,0,0,0.0327,9,0,9,0,0,9.015,0.22,0,0.11,27.5684,0,0.6696,0.1121,579.48,162.1847,1.3475,0,0.0109,4.0461,0,0,9,0,0.5926,0,0,0.1331,1.0805,79.3064,0,0.6746,0.794,5.2145,9,1.9128,9,0,0,0,0,0,0,0,0,0.006
"Cuba",4.9,42.5675,0.1783,0,0.0001,22.8652,0.5836,39.8398,0.2945,0,0.0066,0.0975,0,0,9.0001,210.9663,34.9475,0,0,0.0243,1.53,3.2108,2.9718,25.8856,0,11.8285,0.1194,5.6773,1.4124,66.121,0.7072,0.2728,35.549,68.8712,2.3124,12.0151,0.6364,193.093,26.5384,0.0217,237.5743,0,0,10.08,524.39,0,19.8281,34.1596,2.0493,1.3432,0.612,12.206,9.6269,216.2043,0,0.0654,0,0.0018,0.12,0,0,0.1748,1.1844,8.1463,10.1927,0,2.063,237.882,0.07,0.069,1.4603,14.49,29.6174,0,9,0.8424,2.0127,12.0876,0.1319,9.5727,0.025,0,0,2.3265,0,0.0212,0,0.1663,9.0211,0.0167,0,0.0201,9.0022,9,0,9,0.916,0,0,0.5636,0.0012,0,0,0,9,0,0,0.0326,0,9,0,0,0.001,0,9,0.22,0.1049,0.1565,0,0.1625,0,0,0,0,0.0204,9,0.028,0,0,1.0679,0.8616,12.026,0,0,1.5269,0,1.1115,5.4765,0.289,0.5814,0,0.1977,0.319,0.1217,0.7177,9,2.919,0.2393,0,0,0,4.1,0,17.74,206.6492,0,19.9691,0,0,10.6805,1.075,0,0,9.0227,9,0,0,0,5.8077,9,0,40.6524,0.429,0.0367,9,0.6034,1.7184,1.9893,9,3.7062,0,0,0,0,0,0,0,0,0,0
"Haiti",362.51,23.7763,0.0537,0.0001,0,67.2229,0.7104,8.1681,0.3361,0.034,0,0.0163,0.0359,0,0.0023,12.4791,0,13.8837,0,0.0906,0,5.918,3.5649,24.7136,0,0,0.3604,0.2581,2.0966,10.0034,0.055,0,10.681,14.8932,1.4328,11.5206,2.4555,22.8653,2.0321,0.0724,24.553,0,0,0.12,8.5427,0,0.3634,20.5316,0.272,1.1913,0.1682,1.4146,0.1212,3.2671,0,0.0003,9.0145,0,0,0,0,0.0167,0.1655,0.2539,0.0363,0,0.022,1.2441,0.004,0.0114,0.0006,0,0,0,0,0,0.6897,0.5674,2.1308,1.3861,0.0014,0,0,0,0,0,9,0,0,9.0126,9,0.002,0,0,0,9,0,0,0,0,0.029,9,0,0,0,0,9,0,0,9,0,9,9,0,0,0,0.0016,1.9102,0,0.3606,0,0,0,0,0.0436,9,0.0412,0,0,0.0094,0.0214,1.6694,0,0,5.679,0,0,0,0.04,0,6.93,0,9,0.0182,0.0008,0,0,9,0,0,0,0,0,0,20.728,0,15.3809,0,19.8,36.7973,3.3,0,0.9676,3.0803,0,0,0,9,2.2962,0,0,0.0845,4.5772,0,0,3.0689,5.4047,0.0953,0,0.1303,9,0,0,0,0,0,0,0,0,9
"Dominican Republic",1375.0073,27.2102,0.4721,22.8652,67.2229,0,1.0991,17.2935,2.9869,1.3059,1.1179,0.7707,0.225,0.3527,0.3456,280.2998,1.7016,32.2223,8.1211,5.9005,2.2348,18.9069,131.9994,74.8071,735.5672,0.1572,0.7613,13.0386,7.6911,88.301,0.0124,0.0375,23.0229,46.5572,2.2517,19.2865,7.0513,46.3392,5.125,0.4185,17.5109,0,0,0.9564,221.7309,0,0.3417,96.035,0.1345,0.5089,0.1298,4.9748,0.469,31.9755,0,0.0137,9.0017,0.002,0.0129,0,0,0.0015,0.6195,0.1502,0.4744,9,0.2371,47.6238,0.02,0.0017,0.9289,0.276,10.6729,0,0,0,4.019,2.7696,19.748,44.5301,0.0121,0,0.2482,9,0,9.1452,9,0.0041,2.2357,9,0,0.3085,0.293,9,0.1674,0.0029,0.0748,0.117,0.0471,0.1543,9,0.1129,9.2062,0.0003,9,9.0642,0.0137,10.1823,9.1795,9.1703,9,9,9.5272,0,9,0,0.0296,0.0299,9.0916,0.8449,9,9.1225,0.4902,9.1043,0,9,0.0258,9,1.8507,0.0633,1.0278,0.0113,9,0.0687,11.915,0.9876,0.0448,0.0216,0.083,0.1279,5.4932,0.1905,0.3148,0.4571,0.0115,0.2759,0.0867,0.0485,2.4841,0,0,0,0,0,90.2285,9,95.745,0,173.131,247.4846,9.5513,1.0024,7.8969,0.173,0.0844,12.7456,9.0483,9,7.6891,0.0217,9.0941,0.4433,2.4288,0.2996,0.2615,1.2052,18.5922,4.7304,0.0617,11.5695,9,0,9,0,0.0095,9.4102,0,0,0,9
"Jamaica",722.923,52.2573,0.9847,0.5836,0.7104,1.0991,0,270.6131,5.9269,12.4145,0.4992,3.1502,0.4652,2.3871,1.9917,67.0833,2.9442,11.907,4.1716,0.8762,0.0642,10.9325,30.6986,17.5941,51.4195,25.8172,6.9304,0.4318,0.0611,53.1969,0.0091,0.0573,3.9384,2.376,2.7852,86.2533,3.6186,72.177,7.9342,0.2756,117.6999,0,0,15.8681,3.2411,0,15.5616,75.3145,1.7225,1.4502,0.0385,1.5467,0.3782,5.7878,0,0.0911,0,0.0105,0.0032,0,0,0.0242,1.2902,0.1596,0.1663,0,0.0525,73.1361,0.4986,0.0689,0.0137,0.1396,0.0011,0,0,0,2.2668,8.7884,55.0435,5.0838,0.1427,0,0,9,0,0,0,0.0068,0.0026,0,9,0.0256,0,9,0,0,26.2748,0.0023,0.0042,0.0245,0,9,0,0,0,0,0,0.0039,0,9,0,0,0,0,0,0,0.0004,0.0486,0,2.1662,0,0,0,0,0,0,0.0034,0,0.0028,0.007,0.0031,0,0.1221,0.048,25.6182,0,0.0178,0,0.18,0.0089,3.7785,0.2932,0,0.1456,0,0,0.3464,0.0515,0,0,0,9,0,0,45.7575,0,17.5099,3.0306,13.5229,147.6158,4.2153,0,0.7693,0.0842,0,0.8387,0,9,12.8359,0,0,0.1107,3.862,1.7708,0.0118,0.5296,7.3799,16.6759,0,11.4791,0,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago",303.0686,80.1078,10.7308,39.8398,8.1681,17.2935,270.6131,0,119.3057,15.6749,43.495,47.7604,27.3513,28.269,16.1884,10.3262,1.4103,59.8728,14.9323,4.492,2.6159,12.1725,40.7044,121.5211,290.7823,71.9863,24.0414,17.4952,1.1768,15.9337,0.4906,0.141,1.6503,3.5893,10.4555,41.5397,16.7062,9.0067,0.8451,0.5579,98.8379,0,0,9.2919,38.626,0,3.2896,49.9544,2.1787,3.3482,0.1849,2.2369,0.5984,6.4841,0,0.3526,0,0,0,0,0,0.0409,0.6105,0.2425,0.3103,9,0.7557,1.8438,0,9.0759,0,1.8404,9,9.0009,0.0428,9,1.1825,3.6789,0.1516,2.999,0.0043,0,0,0,0,0.0344,0.0062,0,0.3429,0,0.0081,0.1179,0,0,10.6201,0.0027,0.0053,0.006,0,0.0046,0.0083,0,0,0,0.0191,0.0005,0.0081,0.2562,9.0042,0.0118,0,9,0,0,0,0.0132,0.0001,0.0111,0.054,15.4106,0.0007,0,0.0001,0.0106,0.0001,0.0039,0.0477,0,0.3827,7.2616,0.0718,0,0.004,0.2042,3.2112,0,0.3677,0.0564,0.0059,0.0639,3.0353,2.9029,0,0.0338,0.0108,0.0678,0.0443,0.0238,0.0216,0,0,9.007,9,0.6704,37.4783,0,21.7213,1.4666,30.6713,131.3228,12.0634,9,4.5338,0.0275,0.0854,1.0847,0,0,19.7856,0,0,0.36,5.082,2.9699,0,0.5095,4.6933,23.5376,0.033,7.4006,0,9,0,0,0,0,0,0,0,0
"Barbados",394.1586,38.3185,2.0722,0.2945,0.3361,2.9869,5.9269,119.3057,0,2.6919,3.923,5.6851,4.5055,8.209,4.7431,11.1774,1.7352,6.9544,2.4567,0.2021,0.0004,2.7684,3.2166,1.672,5.5187,1.6555,2.5979,0.663,0.3273,10.7468,0.0191,0,9.3868,0.8587,0.0854,57.558,0.9494,10.1552,3.243,0.0018,14.7872,0,0,7.5583,3.2584,0,0.2351,14.7797,0.2384,0.8209,0.0077,0.3579,0.0066,6.4152,0,0.0298,0.0005,0.0006,0,0,0,0.0337,0.2684,0.096,0.0272,0,0.0408,0.0251,0.0268,0.0006,0.0001,0.0616,0,9,0,0,2.2389,12.7803,2.2884,3.8378,0.0458,0,0.0001,0,0,0.0001,0.0146,0.0072,0,0.0002,0.0018,0,0.0865,9,0.0012,0.0681,0.0072,0.0028,0.0067,0.0097,0.0066,0,9.0002,0,0.0105,0.0004,0.0049,0.0005,0.0002,0.0013,0.0049,0,0,0,0.0003,0.0526,0.0001,0.0011,0.0694,0.1915,0.0218,9,0,0.0254,0.0023,0.0001,0.0005,0.005,0.0061,0.0013,0.0133,0,0.0119,0.1402,0.4,0,0.0102,0,0.0009,9.0161,1.628,0.1318,0,0,0.0023,0,0.0354,0,0.0014,0,0,0,9.001,9,28.2332,0,5.472,0.2705,9.9056,83.0777,1.2891,9,0.2865,0.0081,0,0.7739,9,0,2.7415,0,9.0001,0.0742,1.9648,0.6541,0.0052,0.6163,2.2851,5.6965,0,12.321,0,0,0.0029,0,9,0.0001,0,0,0,0.0178
"Dominica",33.9641,2.0805,0.047,0,0.034,1.3059,12.4145,15.6749,2.6919,0,1.1847,0.35,1.2469,3.1744,0.3484,0.74,0.2434,0.8141,0.217,0.0022,0,1.3856,0.5093,0.5028,1.2207,2.197,0.4094,0.0304,0.0037,0.6252,0.0001,9,0.0874,0.0052,0.0018,13.8315,0.4446,2.65,0.2053,0.009,0.5068,0,0,1.4241,0.0196,0,0.0722,0.6995,0.0723,0.0159,0.0461,0.0244,0.0053,0.2837,0,0.0014,9.0022,0.0043,0,0,0,0.01,0.2163,0.0094,0.0007,9,0.0222,0.0454,0,0.0259,0.0007,1.99,0.0105,0,0,0.0073,0.0079,0.0219,0.2512,0.2236,0.0007,0,0,0,0,0,9,0,2.49,0,0,0.0076,0.003,0,9,9.0007,0,9,0,0,0.0185,0,0,0,0,9.0015,0,0.1494,9,0,0,0,0,0,0,0,0.0276,0.3031,0.0011,1.9355,0,0,0,0.0107,0,0,0.0541,0.0007,0,0.0081,0.0369,0,0.017,0.0252,0.0428,0,0.016,0,0.26,0,0.0015,0,0,9.0435,9.0007,0,0,0,9,0,0,0,0,0.2,0.5276,0.0011,0.8807,0.0241,0.7637,7.4897,0.1244,0,0.0004,0.2965,0,0.0339,9,0,1.5111,9.0007,0,0.0015,0.2256,0.0104,0,0.0169,0.0135,0.0651,0.0007,0.0555,9,0,0,0,0,0,0,0,0,9.0011
