"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Monaco","Liechtenstein","Switzerland","Spain","Andorra","Portugal","Germany","Poland","Austria","Hungary","Czech Republic","Slovakia","Italy","San Marino","Malta","Albania","Macedonia","Croatia","Yugoslavia","Bosnia and Herzegovina","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Eritrea","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","East Timor","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Kiribati","Tuvalu","Fiji","Tonga","Nauru","Marshall Islands","Palau","Federated States of Micronesia","Samoa"
"United States of America",0,68022.06,692.73,286.9,127.2317,10.3081,1095.2021,3538.2799,407.6259,32.04,67.03,119.51,78.8377,113.7,41.06,23804.94,113.25,224.5962,1994.2794,796.4795,333.2325,335.5325,777.6634,2762.8599,15307.103,7.08,78.4163,1706.6429,12.7395,8265.592,118.167,5.0095,1558.7915,1171.064,103.7101,4530.145,17531.109,9655.345,2909.686,8.1318,8876.369,0,0,5245.0504,886.4468,0,1169.9939,25991.535,366.0656,2408.2046,1235.8049,294.5824,911.77,15082.167,0,102.9613,13.8319,7.7065,182.3732,0,10.61,163.307,1609.9454,160.6504,205.068,11.0147,231,6153.9304,36.95,310.9387,86.9384,188.4506,86.8959,52.2676,30.7695,119.621,2217.5427,8198.2508,3406.4365,2026.0833,85.5276,0,1.65,0.78,592.86,29.26,31.62,79.4723,24.1815,37.6,23.0197,400.4052,61.0959,18.7989,25.37,24.44,136.83,0.6011,123.6684,8633.7064,2005.0999,6.14,46.44,387.3702,149.54,39.8294,76.6067,46.61,3.277,5.9,7.81,37.24,151.3856,86.8,3965.2098,94.983,19.5726,50.6287,64.43,1149.8833,99.8,414.7,11.8,165.4,358.9552,3.44,253.6339,10.4264,162.02,4590.2599,163.389,0.11,14.322,99,563.0288,4565.9401,53.7507,46.09,336.4123,315.205,7678.2002,13973.7109,142.61,818.1,158.38,223.8005,1408.4001,338.8346,3.76,34.3673,2.4,36.1311,194.98,61.3398,127142.543,171.3174,15530.1,8.59,13411.098,61341.235,8861.8196,0.4,1945.4721,1982.2132,288.02,1727.56,91.9567,164.1,8921.2191,1319.4,0.55,3766.2,13339.603,2513.722,293.4951,3088.8407,7568.9248,0,8162.1221,37.18,413.3997,0.34,0.59,0.5,0,164.04,8.83,1.6,0,0,0,6.6
"Canada",68022.06,0,14.3724,109.5115,4.7665,10.8194,111.3813,83.4964,37.455,5.7762,3.4566,6.2898,5.8691,12.0751,3.9372,5029.5571,0.5818,54.6615,54.3971,13.9615,16.7216,157.902,13.41,12.6832,364.8409,151.9045,3.0172,22.3504,111.3594,750.7975,4.4981,7.9837,357.9248,209.635,96.3435,947.9531,985.4668,226.6161,234.9841,34.4364,1654.8318,0,0,720.9334,313.8425,0,8.9408,4117.334,97.0803,512.8269,22.5975,2.5565,97.5056,2131.1937,0,11.4246,3.1125,1.7161,23.8303,0,1.1546,12.7052,48.4053,6.2574,33.8003,2.3542,12.0163,344.865,14.0238,0.5157,32.2777,12.2766,3.4625,3.7036,1.5689,21.5831,598.9931,1307.3438,2569.4885,662.5029,2.6436,0,1.5273,0.1326,366.3814,0.133,2.9194,16.0817,3.1129,0.6966,0.8412,70.5772,28.5165,4.827,2.0104,0.1157,8.1493,9.0688,10.0065,316.7611,0.3943,0.0668,2.642,1.8628,7.6061,4.5187,16.4247,18.6739,0.5421,1.1468,0.0042,0.1566,1.4345,1.7049,18.9206,8.4687,9.9786,5.6755,0.9063,99.7908,12.862,6.8649,0.8626,1.3186,11.7493,0.6528,5.8332,0.4616,64.3445,1610.3634,75.3207,22.4241,32.0077,168.4138,120.8196,873.8263,52.7226,59.5943,17.0701,8.1798,251.753,344.9464,26.0164,23.7138,4.5615,16.1065,195.6491,18.9542,6.0262,4.9371,0.5683,6.2356,7.0312,41.6983,9942.4814,9.3936,2112.9,23.7584,2171.8652,3270.5362,432.6967,0.0116,24.9794,184.2997,32.1077,44.1778,1.0814,2.5945,1081.9183,65.8458,4.7525,186.0538,1440.6962,269.609,0.049,536.995,407.5853,0,23.3644,0.3211,88.7085,0.016,0.0409,0.2149,9,1.29,0.276,0.2189,0,0,0,0.3194
"Bahamas",692.73,14.3724,0,0.311,0.0252,10.4584,3.6143,29.1843,2.0102,0.0018,0.1478,0.0679,0.1394,0.082,0.0139,41.2705,0.3436,66.5877,0.2388,1.8092,15.4733,4.2628,0.0961,41.6449,68.5604,0.0116,0.002,34.6258,54.2847,430.1695,0.0202,59.8112,1.7494,1.0801,0.3278,40.8183,2.9636,12.1461,3.2551,0.1672,412.0749,0,0,37.2478,15.7583,0,0.3788,48.8701,25.9913,0.8366,0.1756,0.5104,0.111,620.3662,0,0.2198,0,0.0206,0.135,0,0,0.0795,17.2988,0.0216,0.3018,0.0003,11.412,0.4909,4.877,1.392,0.0643,0.0015,0.7372,1.087,0.203,0,13.7063,31.2592,44.1624,7.1786,2.1334,0,0,9,0,0,9,0.0017,0.0007,0,9.0138,1.3554,0,0,0.021,0,0,0.0353,0.2927,0.51,0.0036,0,0,0.053,0,0,0.0264,0.001,0,0,0,0,9,0,0,0,0.0049,0,0,1.4136,0,0,0,0,0.0117,0,0.042,0,0.2022,0.0162,0.0161,0,0,0,28.482,0,0.0089,0,0.0077,0,9.14,28.6675,0,0,0.0468,9,0.2,0,0,1.6514,0,0,0,10.2505,135.1514,9.0005,57.7975,0.1954,999.6995,323.1849,3.398,0,2.0835,1.209,0,0,9.021,0,0.6141,0,0,0,0.0043,124.4956,0,0.9834,0.5772,0,7.2865,9,0.4136,9,0,0,0,0,0,0,0,0,0,0.0105
"Cuba",286.9,109.5115,0.311,0,11.9782,33.0267,4.7487,17.3177,0.3366,0,0.0316,0.0914,0.0936,0,9.0002,157.127,30.467,8.8814,1.8743,1.3158,0.0265,8.0374,0.5599,60.9416,92.9314,20.6281,0.0001,5.6213,2.1636,51.8431,0.3549,0.0289,40.2468,24.3995,0.4778,15.8866,0.5359,294.758,23.1966,0.2003,138.3172,0,0,14.0032,422.3956,0,19.0239,92.9532,17.2252,1.0422,0.1412,6.9883,0.0249,273.7894,0,0.2116,0.0247,0.0696,0.1374,0,0,0.6236,0.1711,12.2267,6.6834,0.0626,14.087,136.5389,1.552,0.3333,0.3001,4.2091,11.4121,0.0004,0.0576,1.3985,1.1929,19.8155,0.5079,15.0584,0.0238,0,0,4.0573,0,0.037,0,0.4205,0.0003,0.0291,0,0.0067,9.0086,9,0,9,1.5974,0.0124,0,0.1427,0.0021,0,0,0.9997,9,0.0935,0,0.0009,0,0,0,0,0.0927,0,9,0,0.002,0.0013,0,1.2001,0,0,0,0,0.0041,9,0.0785,0,0.6361,11.9161,4.8329,20.8124,0,10,3.5276,0,0.6019,9.5506,1.1289,0.1717,0,0.1869,0,0.1742,1.2517,0.162,0.8,0.0049,0,0,0,0.0013,0,13.6435,134.2244,0.003,16.8378,0,1.8794,37.0471,3.1104,0,0.1622,9,9,0,0,0,7.9859,9,0,71.83,0.9676,0.1799,9,0.0744,2.0152,0,0.368,9,43.5639,0,0,0,0,0,0,0,0,0,0,0
"Haiti",127.2317,4.7665,0.0252,11.9782,0,25.7102,2.6357,5.9342,0.0847,0.0086,0,0.0231,0.024,0,0.0169,3.9378,0,8.742,1.4897,0.2454,0.1028,4.7506,18.2478,49.5095,13.957,2.2221,0.2936,0.3593,9.905,24.6694,0.1329,0,3.1934,9.5688,0.1116,3.6116,0.2845,12.0678,2.6114,0.0016,19.8624,0,0,1.7402,3.9941,0,0.2488,6.5307,0.0824,0.4528,0.0496,0.3545,0.002,2.5484,0,0.0055,0,0.0011,0.0361,0,0,0.0485,0.5394,0.3753,0.7389,0,0.161,0.3447,0,0.009,0,0.0012,0,9,0,9,0.3604,0.7026,2.3542,4.0599,0.1494,0,0,0,0,0,9,0.0362,0,9.0935,9,0.0088,0.0017,0,0,9,0,0.0026,0,0.0184,0.0507,9,0,0.0041,0,0,0.0004,0.0203,0,9,0,9,9,0,0,0,0.0005,0,0,0.0899,0,0,0,0,0.0277,9,0.033,0,0.0455,0.0313,0.0104,2.3891,0,0,8.4622,0,0.0309,0,0.0009,0,2.75,0.0895,0,0.026,0.0012,0,0.0181,0,0,0,9,9,0,0,21.492,0,4.9198,0,5.1668,26.3678,7.464,0,0.2387,0,0,0,0,9,1.7406,0,0,0.054,21.0835,0.2314,0,0.7348,3.749,0,0.6798,0,0.1637,9,0,0,0,0,0,0,0,0,0,9
"Dominican Republic",10.3081,10.8194,10.4584,33.0267,25.7102,0,7.3123,124.7056,0.9979,0.5096,0.283,0.4919,0.8884,0.3842,0.2713,419.7625,16.7099,30.8124,1.7374,17.1981,11.9676,77.6929,130.9981,324.5343,257.3168,0.7089,0.1328,12.7753,23.6292,234.9256,1.0814,2.827,29.6744,84.4077,6.2092,1.7935,0.9294,2.2343,0.0094,0.1238,40.5799,0,0,13.2075,169.803,0,3.6837,63.3718,3.3072,0.5793,0.0646,2.9015,0.0999,97.9917,0,0.4661,0.3462,0.032,0.446,0,0,0.4467,1.2916,0.3808,1.0853,9.0182,0.1197,13.4885,0.29,0.0702,0.1612,1.6494,0.0107,0.0024,0.4856,0,22.591,8.3014,16.5583,27.9361,9.2056,0,0.0394,9.0001,0,0.0017,9,0.003,0.2903,9,0,0.0245,0,9,0.0109,0,0.8136,0.0258,28.4857,1.9453,9.0285,0,9,0.0017,0,0.1184,0.0761,0.1763,9,9,9,9,0.0002,0,9,0,0.006,0.0006,0.1428,1.0549,11.64,9.0444,0.107,0.0716,0.3453,9.0015,0.0674,0,0.2438,0.0213,0.0623,0.0005,0,0.0678,3.7722,0.0325,7.9401,0.082,0.9112,0.1465,7.7339,1.4452,0.9119,0.0011,0.0008,0.1313,0.3931,0,0,0,0,9,0,2.533,182.7859,0.0008,125.9579,0,6.4046,157.9325,14.72,0.963,1.5912,0.5199,0.0012,6.6026,9.0296,9,11.6155,0.0008,0,0.1853,0.7634,2.4558,0.0731,0.5359,11.8739,0,2.009,0,12.5535,9,0,9.0099,0,0,0,0.0044,0,0,0,0
"Jamaica",1095.2021,111.3813,3.6143,4.7487,2.6357,7.3123,0,389.0188,5.4985,3.6602,1.3838,3.789,1.0651,2.9548,1.8918,97.9775,6.6675,8.0581,14.1368,2.5827,1.2159,48.3737,33.5041,34.8645,41.6977,24.9023,7.183,89.4567,0.0219,85.4044,0.1183,0.0138,14.8669,6.9827,0.7739,44.76,7.7962,59.9621,17.7248,0.8473,91.9354,0,0,21.9507,4.0412,0,1.2225,65.7817,1.0201,2.7917,2.996,0.1947,9.067,10.7672,0,0.534,0,0.0005,0.0456,0,0,0.3627,0.0292,0.0476,0.0207,0.0024,22.3255,20.1198,0.0626,0.0419,0.1799,2.5467,0.0066,0,0,0.018,2.3774,12.9158,106.0506,6.0891,0.155,0,0,0,0,0,0,0.0003,0.0028,0,9,0.005,0.01,9,0,0,3.5315,0.0392,0.057,1.7435,0,0,0,0,0,0.0983,0.1989,0,0,9,0,0.0059,0,0,0,0,0.0137,0.0247,0,9.7112,0,0,0,0,0.0007,0,0.0013,0,0.0934,0,0.1176,0,0.045,0.0573,18.7883,0,6.8506,0.0074,0.0605,0.0752,5.2086,0.0829,0,0,0,0,0.6772,0.0062,0,0,13.1,9,0,0,12.9228,0.0003,21.9417,0.7445,10.5603,142.699,9.812,0,0.8586,0.2925,0,0.5976,0.0009,0,13.2217,0,0,0.1371,9.1148,3.1862,0,9.3943,6.257,0,16.3847,0,7.9011,0,0,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago",3538.2799,83.4964,29.1843,17.3177,5.9342,124.7056,389.0188,0,205.2452,18.4019,59.5026,58.5599,36.9707,22.5868,25.9305,64.4911,9.2235,0.5911,57.6464,44.2339,22.0436,0.9918,17.2007,73.3037,392.1331,92.498,14.4039,19.13,12.6664,196.3128,0.1837,0.1613,6.5132,17.5538,0.9383,65.0872,20.958,9.5397,0.518,5.0472,208.4493,0,0,1.4998,10.923,0,6.9884,231.0495,3.7432,9.9294,1.0265,0.2667,0.0003,67.2486,0,0.1939,0.0004,0.2422,0.0319,0,0,0.094,0.0445,0.0815,0.0276,9,1.782,5.3993,0.099,0.0102,0,2.9245,0.0085,0,2.1734,0.0356,3.2967,4.9101,3.0369,8.106,0.0002,0,0.0004,0,0,0.1347,0,5.7118,0.0072,0.0114,0,0.7765,0,0,0.0007,0.0063,0.188,0.0026,33.1099,0.2454,130.8243,0.0146,0,0,0,0,0.0143,0.1915,9,0,0,9,0,0,47.6515,0.0102,0,0.0011,0.0539,1.9016,0.0071,0,0,0.7206,0.0029,0.0262,0.011,0,2.7072,0.0013,0,0.0099,0,0.2557,1.7689,0,0.0688,0.2024,0.0194,0,2.64,0.0951,0.0023,0.0012,0,4.7595,0.2791,0,0.0591,0,0,9,0.0139,0.0448,64.264,0,31.3877,2.7963,21.0252,143.4117,16.7933,9,0.4431,0,0.0061,0.7713,0,0,14.994,0.1086,0.0002,0,2.7328,5.2822,0,0.2062,4.767,0,23.6936,0.0206,13.2684,0,9,0,0,0.0419,0,0,0,0,0,0.0209
"Barbados",407.6259,37.455,2.0102,0.3366,0.0847,0.9979,5.4985,205.2452,0,3.4562,6.8118,12.3501,4.0691,6.2432,7.2625,10.8304,0.0072,166.1752,5.2121,1.1629,0.0057,3.8671,1.8757,4.648,2.926,5.4708,10.3093,0.4288,28.1431,14.3358,0.1619,0.0456,1.6949,1.425,0.0707,40.4326,2.7914,12.0853,4.5789,0.0437,20.7823,0,0,7.9098,1.0347,0,0.5091,15.9751,0.0499,1.1223,0.0802,11.362,0.001,10.7512,0,0.0241,0.0159,0,0.0119,0,0,0.0154,0.1069,0.3285,0.021,0.0125,0.0237,0.0751,0.0075,0.0344,0.0332,0.4347,0.0016,0,0.0898,0,1.2081,26.3239,3.0884,8.7093,0.0244,0,0.1046,0,0,0.0038,0.0836,0.0055,0,0.0004,0,0.0073,0.0253,9,0.0095,0.0945,0.0051,0.1112,0.0071,0.9988,0.0027,0.0056,0.0004,0,0.0002,0,0.0451,0.0074,0,0,0.0118,0,0.0008,9,0,0,0.0131,0.0038,0.0222,0.91,0.0474,0,0,0.1384,0.0207,0.0122,0.0129,0.0006,0.0147,0.0352,0.0164,0,0.0081,0.0618,1.4788,0,0.1703,0.0084,0.0605,0.0084,3.3246,0.1967,0.0002,0.0002,0.0657,0.0001,0.1335,0.0036,0.0147,0,9,0,0.0005,0.0011,34.1939,0,5.4455,0.0452,6.3663,52.9022,3.0332,0,0.2531,0.0239,0,0.2664,9.0005,0.0063,3.0333,0,0.0071,0.2844,2.3203,0.9893,0,1.4098,1.229,0,4.4031,0.0001,12.2524,0,0.0036,0.0001,0,0.0006,0,0.0002,0,0,0,0.0001
"Dominica",32.04,5.7762,0.0018,0,0.0086,0.5096,3.6602,18.4019,3.4562,0,2.141,0.6093,1.0274,4.4174,1.5927,0,0.029,1.4803,0.2061,0,0.0108,0.5804,0,1.3436,0.6378,2.3371,0.2632,0.0016,0.0418,1.3288,0.0188,0.0083,0.0441,0.2383,0.0038,3.0949,0.0555,2.6436,1.7692,0.0152,2.8954,0,0,1.2607,0.3024,0,0.063,0.7694,2.5228,0.6941,1.2972,0.0785,0.0028,0.5955,0,0.0349,0.1244,0,0.0238,0,0,0.0457,0.4959,0,0.004,9,0.011,0.0968,0.727,0.1139,0.014,0.1826,0,0,0.0809,0,0.1106,2.1557,0.3758,0.3841,0,0,0,0,0,0,9,0,0,0,0,0,0.0101,0,9,9,0.0086,9,0,0,0,0,0,0,0,0.0793,0,0.0111,0,0,0,0,0,0,0,0,0,0.0122,0,1.3347,0,0,0,0,0,0,0.0001,0,0,0,0.028,0,0,0,0.1051,0,0.3062,0,0.0059,0,0,1.1351,0,9,9.0011,0,0,0,9,9.297,9,9,0,0,35.8204,0.0012,1.3182,0.0483,10.7709,8.2472,2.2847,0,0.0433,0,0,0.023,9,0,1.3148,9,0,0,0.2358,0,0,0.0833,0.5376,0,0.0047,0,0.0129,9,0,0,0,0,0,0,0,0,0,9
