"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Monaco","Liechtenstein","Switzerland","Spain","Andorra","Portugal","Germany","Poland","Austria","Hungary","Czech Republic","Slovakia","Italy","San Marino","Malta","Albania","Montenegro","Macedonia","Croatia","Yugoslavia","Bosnia and Herzegovina","Kosovo","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Eritrea","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","South Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","East Timor","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Kiribati","Tuvalu","Fiji","Tonga","Nauru","Marshall Islands","Palau","Federated States of Micronesia","Samoa"
"United States of America",0,73477.19,3477.7202,394.02,490.75,2893.9707,1735.05,4207.5598,439.81,82.87,94.74,711.79,99.61,135.3,131.21,77071.3,131.52,2038.8857,786.1938,1673.9785,2035.3374,3112.8529,2642.8409,5723.761,17935.801,72.9309,190.0074,4094.5711,1309.6182,11290.295,126.9807,517.2142,4884.106,3240.6147,1490.73,19065.145,25279.0318,17162.233,10825.939,1533.9645,20836.781,0,0,16605.175,2077.928,0,1979.0045,74434.735,2258.0869,6622.4184,2678.4211,2123.6873,1482.4671,26583.436,0,53.2265,58.55,18.4003,1.94,60.909,0,17.47,14,7.7519,477.0489,11.4088,294.6128,36.1778,981.9918,11014.488,284.9812,179.1337,1279.0035,1685.6367,478.8932,31.0946,78.6404,789.7353,3166.4573,5311.8096,410.624,4660.7455,172.6816,0,2.1,3.95,97.31,37.34,50.99,160.7036,665.04,135.33,48.32,799.9945,50.64,79.05,92.24,48.95,792.34,125.1828,17.26,4863.07,882.31,1.81,2463.51,944.77,108.45,87.71,191.8468,390.12,13.65,2.72,15.31,182.56,544.32,10.9,7329.7904,259.85,109.4895,51.41,16.79,1429.4575,57.2,368.1,201.9,38.9,113.07,1.06,272.4536,7.53,2329.3969,2591.8594,26.7128,1728.4601,83.289,23.2,342.42,5580.8239,11315.2701,3359.7237,3.96,1039.77,138.3004,14815.6008,32211.398,498.09,10088.0799,453.78,1794.5459,24686.311,430.8449,1510.75,254.37,57.14,113.11,326.3,223.13,289904.88,289.32,13757.4,7.37,23225.003,70209.5,19862.676,2,2076.11,4943.5112,128.77,2217.3541,4.38,47.65,12429.726,1767.6118,5.25,20724.163,11839.181,20774.309,596.66,2260.2573,10726.8777,0,17150.8252,53.36,66.1914,33.44,0.21,5.6,0.5,135.6,19.03,0.2,0,0,0,25.92
"Canada",73477.19,0,160.496,32.2457,5.8542,1153.775,90.1292,160.0874,141.6853,4.0478,3.0304,11.2896,9.6012,14.8572,0.6512,17703.801,6.3333,317.8346,215.0565,68.9729,393.75,467.6556,14.6121,261.8659,460.537,481.1708,127.1118,56.852,2595.286,568.8755,191.5202,7.7057,333.5702,1489.7137,24.5166,4612.9094,1053.858,737.5369,1454.2717,101.9913,3062.0925,0,0,3479.0708,542.2959,0,169.3985,12403.671,1116.6988,1191.9168,336.1476,315.8783,207.06,4277.4631,0,84.8413,32.4276,1.135,2.4679,60.5263,0,14.5728,0,19.1085,71.3724,1.7997,162.0752,3.5583,142.1001,870.8176,73.3463,9.6232,190.1729,122.4766,1.547,66.805,75.9877,494.7159,1109.8837,1688.7198,2015.6365,709.0136,5.6527,0,0.0714,0.0774,5.6144,1.3323,12.6472,26.1401,24.4745,19.2379,3.6931,488.281,38.2075,52.6919,24.1095,8.8344,246.2493,24.5125,37.572,783.473,29.4087,0.9399,26.1669,17.1795,13.3526,19.8625,50.4593,71.8862,2.5074,3.5924,0.8277,2.7761,3.478,171.6532,1575.6227,51.9928,32.2635,3.6849,136.2163,161.6519,157.7212,8.0698,292.071,1.4357,80.2147,0.0392,16.0104,18.7846,211.3777,3191.73,250.6968,34.6164,79.0557,0,9.1658,51.561,3226.5147,273.2014,0.0711,57.4392,31.0025,724.1484,1920.1818,21.1512,13.683,16.9692,61.5302,1534.1459,89.7803,41.0141,14.1173,10.631,15.6197,4.1306,2586.8068,30606.123,99.7002,3574.4778,0.0084,3126.769,2698.619,164.1235,0.0051,140.4117,619.6752,0.1748,67.6156,9.782,2.0055,1826.1692,738.0391,5.1501,1875.5349,1323.458,162.8094,17.8998,711.539,600.2305,0,207.1978,21.2403,84.2853,0.6809,0.2447,0.0983,9,2.1912,0.0563,0.2731,0,0,0,0.3212
"Bahamas",3477.7202,160.496,0,1.1165,0.4928,368.3161,24.9744,131.9047,6.4247,0.0066,0.5307,0.2438,0.0784,0.2942,0.05,67.2091,1.2334,27.5602,1.5174,0.0049,0.1651,6.7065,2.0847,608.1092,149.6496,0.2109,1.021,116.8343,5.7703,181.0332,0.0571,0,1.702,9.6709,4.1048,18.3308,1.1132,54.4267,46.349,0.0036,44.0812,0,0,33.1377,59.7569,0,0.9197,49.4206,2.3199,10.0071,0.0288,1.6376,0.0011,78.68,0,0.0045,0.0009,0.0114,0.0155,0.005,0,0,0,0.6369,0.1264,0.1489,0.3342,0.1003,0.0119,12.768,4.4107,0.4638,0.2306,0.1503,0.0926,0,0,0,23.1971,14.6403,34.9665,13.3317,2.1449,0,0,9,0,0,9,1.338,0,0,9,722.474,0,0,0.0754,0,0,0,1.0507,2.6407,0.0166,0,0,0,0,0,21.1975,0.0035,0,0,0,0,9,0,0,0,0,0,0,10.7121,0,0,0,0,0.3853,0,0.021,0,0.002,11.2006,0.0016,0,0,0,0,125.5755,0,0.1066,0,0.0058,0,0.49,131.0463,0.1719,0,0.2424,9,1.0355,0,0,7.5449,0,0.0014,0,0.041,375.225,9.0056,0.5271,0.7016,1106.4408,570.6459,796.4241,0,0.0323,0,0,0.1098,9.0964,0,1.3713,0,0,0,35.0653,1089.2565,0,3.2625,5.4196,0,2.3249,9,2.3464,9,0,0,0,0,0,0,0,0,0,1.4005
"Cuba",394.02,32.2457,1.1165,0,24.2745,30.9284,6.2879,62.1708,0.486,0,0.1135,0.328,0.0175,0,9.0009,394.6664,109.3767,11.2024,23.1152,7.1029,0.2995,30.3423,2.0873,8.6175,4141.1916,0.1198,1.3379,26.4638,17.514,474.7088,0.3279,0.1923,23.7285,311.4802,87.7864,77.888,1.3577,29.272,10.1013,0.0939,300.5411,0,0,11.0407,907.4403,0,9.2156,187.8474,3.0367,13.7383,10.6959,24.6782,1.5008,345.974,0,0.0431,0.11,0.0536,0.1396,1.8505,0,0,0,1.4816,10.8093,6.7978,12.1324,0.1248,0.8589,145.6297,1.3676,0.0339,10.5644,150.0227,9.2645,0.1478,0.2824,0.0079,18.0235,23.8281,3.1793,28.7368,0.9363,0,0,14.5659,0,0.133,0,0.2383,0,0.1046,0,0.0143,9.0139,9,0,9,5.7345,18.0605,0,0.7387,0.0075,0,0,0,9,0.1823,0,0.0033,0,0.0467,0,0,0.0216,0,9,0,0.0018,0,0,1.9338,0,0,0,0,0.1482,9,0.2159,0,5.0711,254.8123,1.1108,94.9545,0,0,0,0.9876,0,0.0382,0.8164,4.4838,0.1165,0,0.7874,0.0123,0.9019,4.4935,2.0642,4.1419,0.1657,0,0,0,0.0656,0,0.6199,964.7157,1.6262,2.8637,0,53.8932,19.3844,37.4913,0,0.5579,9,9,0.1656,0,0,0.3882,9.0045,0,0,10.198,2.6712,9,0.3,14.4902,0,5.2695,9,56.9863,0,0,0,0,0,0,0,0,0,0,0
"Haiti",490.75,5.8542,0.4928,24.2745,0,1645.2338,1.974,25.7688,2.4913,0.0032,0,0.0831,0.0441,0,0.0894,44.2019,0.0417,37.9541,15.6261,6.6172,14.9332,18.5664,0.0216,59.8471,3.321,0.7412,0.3154,5.0391,82.1082,56.2087,0.5039,0.1523,6.3221,19.7082,6.9461,4.3541,2.3571,43.0784,2.938,1.682,51.2755,0,0,0.5634,19.2073,0,0.5847,25.7302,2.1669,1.12,0.6339,0.0516,0.3412,17.7249,0,1.0659,0,0,0,0.0914,0,0,0,0.0625,0.0329,0.0095,0.3102,0,2.0118,7.4737,0.0026,0.0185,0.0004,0.1215,0.0001,9.0254,0,9,0.1728,11.9444,2.5183,3.9329,0.0586,0,0,0,0,0,9,0.3924,0.0062,9,9,0.3361,0,0,0,9,0,0,0,0.095,0,9,0,0,0,0.0028,0.0001,0,0,9,0,9,9,0,0,0,0.0038,0,0,8.1237,0,0,0,0,0.0073,9,0.0102,0,1.0413,0.7225,0.0001,12.3691,0,0,0,27.7675,0,2.4366,0,0.0382,0.2043,6.6,0.015,0,0.1339,0.006,0,1.2793,0.0343,0,0,9,9,0,0.0022,365.5915,0,19.7452,0,19.655,43.9162,63.0146,0,6.7024,0,0,0.2258,0,9,7.9267,0.3876,0,0,46.2008,2.3693,0,0.0261,79.5325,0,1.2611,0,0.5458,9,0.0734,0,0,0,0,0,0,0,0,9.1999
"Dominican Republic",2893.9707,1153.775,368.3161,30.9284,1645.2338,0,46.7712,734.5953,4.8434,3.9996,3.2085,31.4945,4.0173,12.0494,2.2937,936.4301,0.555,1.9752,26.2398,36.0222,19.9815,243.7426,63.6908,337.1888,1078.1639,12.2733,8.4067,59.8085,31.0729,468.4204,11.1887,8.6205,39.128,278.6625,46.8886,104.6606,18.8571,57.6499,135.8173,4.9843,92.4057,0,0,17.8149,276.6806,0,6.1499,223.2693,10.022,13.9679,2.5554,6.2705,0.0583,141.2985,0,1.7699,0.5829,0,0.4231,1.17,0,0,0,0.2386,1.6005,0.1816,16.3322,9.0321,3.0135,6.6483,0.8556,0.1644,6.2473,3.6523,0.5495,0.1077,1.1017,0.0114,16.431,22.6873,32.756,86.1377,0.4198,0,0.6706,9.0001,0,0.0363,9.0002,0.9488,0.0025,9.0083,0,1.1728,0.0896,9,0.6412,0.3313,0.7038,0.0619,3.3565,34.1688,9.695,0.0431,9.498,0.3406,0.1071,0.0895,0.0275,0.1728,9.147,9.0001,9,9,0.0001,0,9.2246,0.0018,0.0065,0.0008,0.0136,4.7842,9.0009,9.0141,0.0032,1.698,0.4052,9.1406,0.0526,0,6.0505,0.5715,2.1523,0.011,0.0351,0,0.012,34.5248,1.8515,1.4887,0.3382,0.681,0.5366,45.4695,0.29,0,0.0307,0,0.2642,3.9097,0.0185,0.0971,0,0,9.0287,0,0.397,1778.6622,0.0011,92.2177,6.0725,148.148,325.6686,117.7723,0,7.1542,1.0916,0.0718,2.8913,9.0007,9.0373,23.41,1.0821,0.0155,25.48,33.7692,22.0726,0.0189,3.7318,39.8049,0,20.6008,0,7.763,9,0,9.0033,0,10.1256,0,0,0,0,0,0
"Jamaica",1735.05,90.1292,24.9744,6.2879,1.974,46.7712,0,683.4522,0.4226,18.1727,2.1666,5.4516,1.5959,6.2414,2.9529,191.423,16.1154,25.8104,8.7662,20.8627,1.4701,53.3035,2.3363,43.7239,1018.7361,32.2412,8.538,2.9243,5.1356,134.8542,4.6176,0.0002,10.4461,16.9334,1.7241,19.4986,3.3732,87.0494,37.6526,0.7671,7.4502,0,0,12.0213,32.218,0,12.7484,24.9697,1.9895,2.4797,5.6871,0.2771,0.0837,14.8589,0,0.0322,0,0.014,0.0013,0.0572,0,0,0,71.9645,0.5989,0.1282,0.2796,0.2906,25.8225,41.6927,0.0177,0.029,0.0154,0.0349,0.138,0,0.0213,6.4702,0.3763,14.4882,23.3798,3.8552,41.6488,0,0,0,0,0,0,0,0,0,9,0.0856,0.0676,9,0,0,11.926,0,0.0348,1.8964,0,0.0166,0,0,0,0,0.0263,0,0,9,0,0,0.5722,0,0,0,0.0033,0.035,0,2.6961,0,0,0.0013,0,0.0045,0,0.0058,0,0.0176,0.0057,0.0199,0,0.946,0,0.318,39.0575,0.0111,0.4425,0,0.0327,0.3886,5.56,0.0011,0.0457,0,0,0.3682,84.0648,4.0653,0.0914,0,0,9.0014,0,0.0158,690.0664,0,7.9626,1.5608,23.5919,139.1386,35.6623,0,2.1338,0,0,3.1242,0,0.0012,40.1102,0.0008,0,0,10.6042,3.256,0,0.4639,18.0615,0,8.8509,0,25.662,0,0,0,0,0.1761,0,0,0,0,0,0
"Trinidad and Tobago",4207.5598,160.0874,131.9047,62.1708,25.7688,734.5953,683.4522,0,604.0547,82.5533,271.9756,266.3759,127.4789,103.1977,118.5471,165.9932,39.8131,117.4829,18.8268,52.0801,13.5871,56.7679,3.0824,44.5609,14.8968,327.763,112.7437,3.6098,124.7678,1142.2276,0.6211,1.6784,1028.732,1845.0067,26.5035,34.7565,20.518,977.7285,108.506,3.0001,90.4545,0,0,5.4082,895.1344,0,10.9002,24.3814,1.436,19.979,2.7053,5.5558,0.1168,116.5105,0,0.0634,0,0.0002,0.0056,0.0385,0,0,0,0.8871,1.2966,0.1474,0.3624,9,1.0208,831.4767,0.0465,0.0374,0.1654,0.2517,0.029,0.001,0.0555,0.0451,9.7306,27.6346,5.4933,8.3822,0.1066,0,0.002,0,0,0.6159,0,13.0648,0.0103,0.0522,0,7.4445,0,0,0.0038,0.0289,0.8595,0,171.4223,0.8386,447.0981,0.0757,0,0,0,1.0177,0.0892,0.9922,9,0,0.0001,9,0,0,162.8513,0.0528,0,0,0.2792,18.3463,0.0071,0,0,3.7308,1.5961,0.1198,0.0013,0,12.8667,0.0007,0.0144,0.034,0,0,0.8737,43.74,0,0.7666,0,0.0527,0,49.27,0.6722,0.0062,0.004,0,0.036,0.9539,0.0336,0.3059,0,0,9,0.0719,35.2109,235.1378,0,12.6145,10.0388,301.0255,14.8431,101.7515,9,8.009,0,0.0317,2.0559,0,0,119.5312,0.5621,0.0009,0,31.582,174.4737,0,1.0386,15.7288,0,6.7554,0.1068,48.4708,0,9,0,0,0.2169,0,0,0,0,0,0.1081
"Barbados",439.81,141.6853,6.4247,0.486,2.4913,4.8434,0.4226,604.0547,0,5.9457,15.7858,38.2031,20.3761,21.3045,22.7341,0,1.0176,5.7355,2.3156,0.019,0.1509,8.9049,1.913,41.1555,9.1245,11.1839,19.0462,0.6922,1.5365,16.8383,0.0967,0.0995,2.656,1.3976,6.8332,50.6873,1.1358,5.3461,3.3167,0.3276,16.907,0,0,12.1133,3.4075,0,1.2857,15.0504,1.3027,0.7913,2.7184,1.029,0.5594,8.9585,0,0.1224,0,0,0.0147,0.0288,0,0.0164,0,3.9176,1.621,0.274,0.0408,0.0146,0.0002,133.7193,0.0001,0.0937,0.0937,0.2233,0.1082,0.0298,0,0.0253,0.4311,10.5127,1.8207,4.1101,0,0,0,0,0.0004,0.0167,0.0882,0,0.0003,0.0009,0,0.1241,0,9,0.057,0.2474,0.0362,0,1.6209,0.0563,0.0052,0.0177,0.0006,0.0012,0,0,0,0.0068,0,0,0,0,0,9.0304,0,0,0,0.1329,0.0648,1.911,0.275,0.0001,0.0001,0.2385,0,0.0031,0.0008,0.0021,0.0273,0.0031,0.0059,0,0,0,0.0652,3.0121,0,0.0244,0.0037,0,0,0.44,0.0802,0,0.0005,0.0616,0,0.7362,0,0.0006,0,9.0045,0,0.0165,0.4836,65.5396,0.0009,1.329,3.1197,11.571,29.7775,6.9041,0,0.6286,0,0,0.2167,9,0.0002,9.3294,0,0.0051,0,0.2184,6.9498,0,0.1809,2.7453,0,2.1094,0,24.6879,0,0,0,0,0.3012,0,0.002,0,0,0,0
"Dominica",82.87,4.0478,0.0066,0,0.0032,3.9996,18.1727,82.5533,5.9457,0,7.6862,2.1873,6.1405,15.8585,5.7179,0,0.1041,5.062,1.2728,0.0468,0.0054,1.3819,0,1.6329,0.055,3.7402,0.3466,0.0598,1.4254,4.3618,0.0065,0.5302,0.3114,1.0094,0.0422,6.8847,0.0655,2.6381,0.7573,0.0024,0.4384,0,0,0.2558,0.2278,0,0.0042,0.8889,1.5115,0.0259,0.0203,0.0081,0.001,0.8984,0,0,0,0,0,0.75,0,0,0,0.0131,0,0.0143,0.0464,9.0006,0.0002,0.3048,0.0057,0.0281,0.4246,0.0164,0.4165,0,0,0.0218,0.0078,0.6415,1.0075,0.6605,0.5702,0,0,0,0,0,9,0.2168,0,0,0,0.0061,0,0,9,9,0.031,9,0,0,0,0,0,0,0,0,0.0505,0.0399,0,0,0,0,0,0,0,0,0,0,0,0.1584,0,0,0,0,0.0142,0,0.0014,0,3.6991,0.0763,0,0,0,0,0,0.8734,0,2.6023,0,0.0674,0,0,3.9036,0.192,9,9.0055,0,0,0,9,10.5377,9.0231,9.0055,0,0.0116,25.1992,0.039,0.4255,0.1735,1.7883,90.8311,1.3564,0,0.0476,0,0,2.2064,9,0,1.1515,9,0,0,2.6266,8.3322,0,0.0452,2.245,0,0.1557,0,0.0234,9,0,0,0,0,0,0,0,0,0,9
